tick,operation,from_user,to_users_count,resource,latency,num_contexts
0,share,user_4,17,/scratch/user_4,0.2296491569995851,1
0,share,user_17,6,/scratch/user_17,0.22560053699999116,2
0,share,user_18,21,/scratch/user_18,0.28446108699972683,3
0,share,user_15,7,/scratch/user_15,0.23010457500095072,4
0,share,user_7,1,/scratch/user_7,0.19122190400048567,5
0,share,user_10,2,/scratch/user_10,0.21934093799973198,6
0,share,user_6,7,/scratch/user_6,0.22426802199879603,6
0,share,user_65,21,/scratch/user_65,0.2139401389995328,6
0,share,user_5,16,/scratch/user_5,0.25426323800093087,7
0,share,user_8,8,/scratch/user_8,0.2161032410003827,8
0,share,user_16,8,/scratch/user_16,0.25339843700021447,8
0,share,user_20,18,/scratch/user_20,0.23816201400040882,9
0,share,user_12,21,/scratch/user_12,0.19436825899902033,9
1,share,user_17,17,/scratch/user_17,0.27986070400038443,9
1,share,user_13,20,/scratch/user_13,0.22306283800025994,10
1,share,user_18,12,/scratch/user_18,0.2679598069989879,11
1,share,user_15,22,/scratch/user_15,0.24692400099957013,11
1,share,user_19,19,/scratch/user_19,0.2365392840001732,12
1,share,user_28,2,/scratch/user_28,0.20947521799826063,13
1,share,user_14,15,/scratch/user_14,0.23327104799864173,13
1,share,user_11,23,/scratch/user_11,0.31309581599998637,14
1,share,user_87,21,/scratch/user_87,0.24258533399915905,15
1,share,user_7,21,/scratch/user_7,0.2764640830009739,15
1,share,user_9,21,/scratch/user_9,0.2334253789995273,16
1,share,user_3,5,/scratch/user_3,0.22520855800030404,17
1,share,user_65,12,/scratch/user_65,0.20938663000015367,17
1,share,user_5,2,/scratch/user_5,0.200076301000081,17
1,share,user_8,3,/scratch/user_8,0.18622417999904428,18
2,share,user_17,2,/scratch/user_17,0.23384664399964095,16
2,share,user_1,9,/scratch/user_1,0.1903281489994697,17
2,share,user_13,14,/scratch/user_13,0.28055386999949405,17
2,share,user_18,16,/scratch/user_18,0.23193183399962436,18
2,share,user_2,10,/scratch/user_2,0.2407942429999821,19
2,share,user_94,3,/scratch/user_94,0.22761296300086542,20
2,share,user_98,9,/scratch/user_98,0.29855047799901513,21
2,share,user_15,1,/scratch/user_15,0.2672894200004521,21
2,share,user_19,8,/scratch/user_19,0.26351788800093345,21
2,share,user_28,1,/scratch/user_28,0.18172132400104601,22
2,share,user_14,9,/scratch/user_14,0.24907589000031294,22
2,share,user_11,4,/scratch/user_11,0.29468414899929485,22
2,share,user_87,6,/scratch/user_87,0.2067312409999431,22
2,share,user_7,9,/scratch/user_7,0.24461755999982415,22
2,share,user_92,16,/scratch/user_92,0.24555927500114194,23
2,share,user_6,6,/scratch/user_6,0.2580365870016976,23
2,share,user_9,8,/scratch/user_9,0.24078315099905012,23
2,share,user_3,11,/scratch/user_3,0.26217037300011725,23
2,share,user_5,17,/scratch/user_5,0.23531518599884294,23
2,share,user_8,14,/scratch/user_8,0.24451930499890295,23
2,share,user_20,7,/scratch/user_20,0.24358700499942643,23
3,share,user_17,6,/scratch/user_17,0.2733056689994555,22
3,share,user_1,19,/scratch/user_1,0.27712328400048136,21
3,share,user_18,23,/scratch/user_18,0.27283428800001275,21
3,share,user_94,8,/scratch/user_94,0.2835907919998135,21
3,share,user_98,17,/scratch/user_98,0.253233954001189,21
3,share,user_15,25,/scratch/user_15,0.21716623599968443,21
3,share,user_97,3,/scratch/user_97,0.18721452600038901,22
3,share,user_28,4,/scratch/user_28,0.2443001279989403,22
3,share,user_14,13,/scratch/user_14,0.27870066600007704,22
3,share,user_11,18,/scratch/user_11,0.2642968340005609,22
3,share,user_7,25,/scratch/user_7,0.25023000900000625,22
3,share,user_92,4,/scratch/user_92,0.23452537699995446,22
3,share,user_6,9,/scratch/user_6,0.2525038610001502,22
3,share,user_9,20,/scratch/user_9,0.30204306399900815,22
3,share,user_65,19,/scratch/user_65,0.27704614699905505,22
3,share,user_5,24,/scratch/user_5,0.2626491930004704,22
3,share,user_16,7,/scratch/user_16,0.21107792800103198,23
3,share,user_20,22,/scratch/user_20,0.2278466509997088,24
4,share,user_17,4,/scratch/user_17,0.1946398729996872,25
4,share,user_13,3,/scratch/user_13,0.24756497999987914,25
4,share,user_33,27,/scratch/user_33,0.3027657740003633,26
4,share,user_94,10,/scratch/user_94,0.2330824840009882,26
4,share,user_98,6,/scratch/user_98,0.28953032700155745,26
4,share,user_15,17,/scratch/user_15,0.26354194399937114,26
4,share,user_68,27,/scratch/user_68,0.20596738099993672,26
4,share,user_97,16,/scratch/user_97,0.25370998499965935,26
4,share,user_11,1,/scratch/user_11,0.2198820789999445,26
4,share,user_87,8,/scratch/user_87,0.2787425690003147,26
4,share,user_91,23,/scratch/user_91,0.2986707309992198,27
4,share,user_92,22,/scratch/user_92,0.25638683900069736,27
4,share,user_9,10,/scratch/user_9,0.2633238100006565,27
4,share,user_3,3,/scratch/user_3,0.22844843799975934,27
4,share,user_65,25,/scratch/user_65,0.3176520929991966,27
4,share,user_12,26,/scratch/user_12,0.2699912799998856,26
5,share,user_17,21,/scratch/user_17,0.2824854230002529,26
5,share,user_1,18,/scratch/user_1,0.2744801479984744,26
5,share,user_18,10,/scratch/user_18,0.30147149699951115,26
5,share,user_33,27,/scratch/user_33,0.3062711180009501,27
5,share,user_2,19,/scratch/user_2,0.2570108759991854,27
5,share,user_94,25,/scratch/user_94,0.25335913700109813,27
5,share,user_98,10,/scratch/user_98,0.32577552600014315,27
5,share,user_15,3,/scratch/user_15,0.20779042499998468,27
5,share,user_19,22,/scratch/user_19,0.2803115250007977,27
5,share,user_68,25,/scratch/user_68,0.2903283570012718,28
5,share,user_97,11,/scratch/user_97,0.303699048999988,28
5,share,user_11,4,/scratch/user_11,0.2535986349994346,27
5,share,user_87,15,/scratch/user_87,0.27331058799973107,27
5,share,user_91,14,/scratch/user_91,0.27084710899907805,27
5,share,user_7,6,/scratch/user_7,0.2185335110007145,27
5,share,user_3,22,/scratch/user_3,0.23692111899981683,24
5,share,user_65,17,/scratch/user_65,0.23885509299907426,24
5,share,user_8,11,/scratch/user_8,0.2742725520001841,24
5,share,user_16,6,/scratch/user_16,0.2621528660001786,24
