timestamp,share_count,unshare_count,total_latency
0,13,7,4.439019155002825
1,15,6,4.850712365994696
2,21,5,6.286271056998885
3,18,7,6.150348308996399
4,16,8,5.999080962001244
5,21,7,7.052280471001723
6,24,10,8.225917783009209
7,19,12,7.584941211000114
8,23,7,7.812480821998179
9,22,16,9.524776205995295
10,27,8,9.382303734000743
11,25,9,8.93118893099745
12,27,19,12.485425487997418
13,30,9,10.540775937994113
14,25,13,10.326735997005017
15,26,18,12.342339897004422
16,29,11,10.50564173899511
17,29,12,11.378492782008834
18,32,12,12.474070369995388
19,30,16,12.761815400996056
20,29,22,14.75941284399778
21,23,18,12.180259078002564
22,31,22,15.89646968300076
23,24,16,11.94269982899641
24,29,19,14.529230364993055
25,30,23,15.711428990996865
26,30,15,13.529557746996943
27,29,23,15.83305145000486
28,32,26,18.663789255002484
29,38,16,16.960722073003126
30,30,20,16.26903327299442
31,47,22,22.484831482004665
32,40,18,19.556194914996013
33,34,27,21.191292908000833
34,36,26,21.66073140899607
35,27,31,19.890067605994773
36,36,25,18.145443291004995
37,39,22,18.55690696700367
38,47,30,24.369371685987062
39,40,30,22.79564354899412
40,37,43,23.764255348994993
41,36,25,18.76873022900145
42,36,39,22.61439349999091
43,37,32,21.718033806002495
44,36,38,23.85064350200264
45,39,37,24.264567448995876
46,41,40,27.21639845199934
47,32,29,20.233174485996642
48,40,36,25.98101852199943
49,41,36,26.888203864999014
50,34,41,26.715173822005454
51,30,37,24.415814981997755
52,28,36,22.949425759001315
53,35,41,27.963560891004818
54,39,38,29.043570891986747
55,38,33,27.069275791996915
56,41,41,31.9084006850062
57,37,36,21.995220512999367
58,36,37,22.23163890700016
59,35,32,21.85430927399284
60,32,45,22.829633867997472
61,30,38,19.6589299309926
62,27,46,21.691418715994587
63,25,37,17.828080328996293
64,24,31,16.169094065988247
65,26,45,20.38203202000477
66,21,38,16.28911251199861
67,27,31,16.00650745699204
68,23,29,14.909269808991667
69,23,36,16.807325991991092
70,30,30,17.158340402977046
71,22,29,13.790000422999583
72,23,26,13.827285379993555
73,24,29,14.80657406098544
74,33,28,18.304632225001114
75,24,22,12.738545512984274
76,21,30,13.676025815002504
77,17,28,11.626483250009187
78,25,30,14.806666420994588
79,19,22,11.396905881985731
80,17,29,11.79252312499375
81,15,29,11.788356054006726
82,15,29,11.156924877006531
83,14,22,9.046915384013118
84,11,19,7.640117933009606
85,14,17,7.7694992770047975
86,14,25,9.893272573001013
87,14,21,8.845448864009086
88,14,19,8.149424528015516
89,9,21,7.165797347002808
90,13,19,7.832113491003838
91,14,19,7.978867709007318
92,10,26,8.91866935300277
93,6,22,6.781190455996693
94,13,23,8.713164064007287
95,11,18,6.907565292996878
96,7,20,6.146094262992847
97,14,11,6.209053848986514
98,6,15,5.065820692998386
99,11,13,5.904353350000747
