tick,operation,from_user,to_users_count,resource,latency,num_contexts
0,unshare,user_17,5,/scratch/user_17,0.19262700000035693,2
0,unshare,user_15,1,/scratch/user_15,0.2905956380000134,4
0,unshare,user_10,2,/scratch/user_10,0.15502196499983256,5
0,unshare,user_6,1,/scratch/user_6,0.2387468960005208,6
0,unshare,user_8,8,/scratch/user_8,0.16184814700136485,7
0,unshare,user_16,6,/scratch/user_16,0.20819488000051933,8
0,unshare,user_20,9,/scratch/user_20,0.2171030810004595,9
1,unshare,user_17,4,/scratch/user_17,0.2545431099988491,9
1,unshare,user_15,11,/scratch/user_15,0.2320307469999534,11
1,unshare,user_28,2,/scratch/user_28,0.1513181350001105,12
1,unshare,user_11,11,/scratch/user_11,0.24809625699890603,14
1,unshare,user_5,7,/scratch/user_5,0.23355171200091718,17
1,unshare,user_16,2,/scratch/user_16,0.14761322400045174,17
2,unshare,user_2,5,/scratch/user_2,0.22453393700016022,19
2,unshare,user_98,5,/scratch/user_98,0.2593220639992069,21
2,unshare,user_19,1,/scratch/user_19,0.26924276900172117,21
2,unshare,user_20,10,/scratch/user_20,0.15444313199986937,22
2,unshare,user_12,5,/scratch/user_12,0.2375026199988497,22
3,unshare,user_17,15,/scratch/user_17,0.139394795998669,21
3,unshare,user_1,9,/scratch/user_1,0.23686023700065562,21
3,unshare,user_13,15,/scratch/user_13,0.22661594300006982,21
3,unshare,user_18,9,/scratch/user_18,0.30375596299927565,21
3,unshare,user_15,8,/scratch/user_15,0.24806349399841565,21
3,unshare,user_97,1,/scratch/user_97,0.20665385400025116,22
3,unshare,user_65,19,/scratch/user_65,0.21931541499907325,22
4,unshare,user_17,1,/scratch/user_17,0.2217466809997859,25
4,unshare,user_19,17,/scratch/user_19,0.22194126499925915,26
4,unshare,user_97,6,/scratch/user_97,0.24527058100102295,26
4,unshare,user_87,9,/scratch/user_87,0.24170259099992109,26
4,unshare,user_92,24,/scratch/user_92,0.2302776630003791,27
4,unshare,user_6,13,/scratch/user_6,0.2294240709998121,27
4,unshare,user_9,19,/scratch/user_9,0.22422602799997549,27
4,unshare,user_65,16,/scratch/user_65,0.2605914949999715,27
5,unshare,user_2,2,/scratch/user_2,0.2776861309994274,27
5,unshare,user_28,5,/scratch/user_28,0.15326980700046988,27
5,unshare,user_7,22,/scratch/user_7,0.21013023300110945,27
5,unshare,user_92,1,/scratch/user_92,0.1620206280003913,26
5,unshare,user_6,4,/scratch/user_6,0.19485368999994535,25
5,unshare,user_8,16,/scratch/user_8,0.22561677399971813,24
5,unshare,user_20,1,/scratch/user_20,0.25027222499920754,25
6,unshare,user_1,9,/scratch/user_1,0.261087431001215,24
6,unshare,user_13,8,/scratch/user_13,0.24073193500044,24
6,unshare,user_94,19,/scratch/user_94,0.23135306400035915,24
6,unshare,user_15,8,/scratch/user_15,0.2785868989994924,24
6,unshare,user_11,24,/scratch/user_11,0.21554276799906802,25
6,unshare,user_22,13,/scratch/user_22,0.23671506099890394,25
6,unshare,user_73,2,/scratch/user_73,0.14906565000092087,25
6,unshare,user_3,3,/scratch/user_3,0.26926981700125907,26
6,unshare,user_36,16,/scratch/user_36,0.23427245299899369,26
6,unshare,user_12,22,/scratch/user_12,0.23542762699980813,26
7,unshare,user_1,9,/scratch/user_1,0.2152665909998177,26
7,unshare,user_13,2,/scratch/user_13,0.2281765269999596,26
7,unshare,user_18,26,/scratch/user_18,0.1902235979996476,25
7,unshare,user_33,26,/scratch/user_33,0.20331686900135537,26
7,unshare,user_19,4,/scratch/user_19,0.2958978949991433,25
7,unshare,user_68,7,/scratch/user_68,0.2474667580008827,25
7,unshare,user_22,5,/scratch/user_22,0.20379215899993142,25
7,unshare,user_9,1,/scratch/user_9,0.23147792000054324,27
7,unshare,user_3,7,/scratch/user_3,0.32193563699911465,27
7,unshare,user_16,7,/scratch/user_16,0.2741594220005936,27
7,unshare,user_20,19,/scratch/user_20,0.2414927859990712,27
7,unshare,user_12,22,/scratch/user_12,0.2191334849994746,27
8,unshare,user_54,2,/scratch/user_54,0.26408050200006983,30
8,unshare,user_15,20,/scratch/user_15,0.23910867899940058,31
8,unshare,user_91,23,/scratch/user_91,0.23010210400025244,32
8,unshare,user_22,10,/scratch/user_22,0.1810083010004746,31
8,unshare,user_6,8,/scratch/user_6,0.23774516199955542,31
8,unshare,user_5,6,/scratch/user_5,0.27633150599831424,31
8,unshare,user_12,4,/scratch/user_12,0.23537209799906122,31
9,unshare,user_1,9,/scratch/user_1,0.24167202100034046,31
9,unshare,user_56,10,/scratch/user_56,0.15715810700021393,31
9,unshare,user_18,8,/scratch/user_18,0.2600165800013201,31
9,unshare,user_2,20,/scratch/user_2,0.22420829699876776,31
9,unshare,user_54,4,/scratch/user_54,0.24557742300021346,31
9,unshare,user_94,25,/scratch/user_94,0.22430142200028058,31
9,unshare,user_98,18,/scratch/user_98,0.2414420559998689,31
9,unshare,user_68,23,/scratch/user_68,0.23461616699933074,31
9,unshare,user_97,5,/scratch/user_97,0.2469008459993347,31
9,unshare,user_14,10,/scratch/user_14,0.24511303899998893,31
9,unshare,user_11,10,/scratch/user_11,0.2543119019992446,31
9,unshare,user_7,21,/scratch/user_7,0.21687635800117278,32
9,unshare,user_73,28,/scratch/user_73,0.24304060299982666,32
9,unshare,user_5,20,/scratch/user_5,0.22594621800089953,32
9,unshare,user_36,23,/scratch/user_36,0.22317536099944846,31
9,unshare,user_20,27,/scratch/user_20,0.15283914699830348,30
10,unshare,user_1,17,/scratch/user_1,0.22121892799987108,30
10,unshare,user_13,14,/scratch/user_13,0.2721995740012062,30
10,unshare,user_54,23,/scratch/user_54,0.2631948329999432,31
10,unshare,user_98,26,/scratch/user_98,0.24835642400103097,31
10,unshare,user_19,27,/scratch/user_19,0.24339025900007982,31
10,unshare,user_11,11,/scratch/user_11,0.2546382629989239,31
10,unshare,user_92,29,/scratch/user_92,0.24840671200036013,33
10,unshare,user_73,2,/scratch/user_73,0.22913177000009455,33
11,unshare,user_54,4,/scratch/user_54,0.228019502999814,36
11,unshare,user_68,2,/scratch/user_68,0.21041078500093136,36
11,unshare,user_97,1,/scratch/user_97,0.32255018599971663,36
11,unshare,user_9,14,/scratch/user_9,0.2517930970007001,34
11,unshare,user_25,24,/scratch/user_25,0.25880956599939964,34
11,unshare,user_65,8,/scratch/user_65,0.25421298800029035,33
11,unshare,user_16,26,/scratch/user_16,0.23368262099938875,33
11,unshare,user_20,14,/scratch/user_20,0.264942775000236,33
11,unshare,user_12,16,/scratch/user_12,0.29350336700008484,33
12,unshare,user_17,13,/scratch/user_17,0.2846806319994357,33
12,unshare,user_13,18,/scratch/user_13,0.24823331100014911,33
12,unshare,user_56,5,/scratch/user_56,0.26546585699907155,33
12,unshare,user_18,30,/scratch/user_18,0.24434965399996145,34
12,unshare,user_33,13,/scratch/user_33,0.26695694999943953,34
12,unshare,user_85,23,/scratch/user_85,0.2905482109999866,34
12,unshare,user_2,2,/scratch/user_2,0.2136128340007417,34
12,unshare,user_94,27,/scratch/user_94,0.28744439399997646,34
12,unshare,user_98,19,/scratch/user_98,0.23443494800085318,34
12,unshare,user_19,9,/scratch/user_19,0.23392494300060207,34
12,unshare,user_97,4,/scratch/user_97,0.29019091199916147,34
12,unshare,user_87,17,/scratch/user_87,0.2738690360001783,35
12,unshare,user_73,18,/scratch/user_73,0.2877249709999887,35
12,unshare,user_9,11,/scratch/user_9,0.2909561609994853,35
12,unshare,user_25,18,/scratch/user_25,0.23211708999951952,35
12,unshare,user_16,6,/scratch/user_16,0.2061349750001682,36
