tick,operation,from_user,to_users_count,resource,latency,num_contexts
0,unshare,user_11,13,/scratch/user_11,0.1549334759984049,7
0,unshare,user_7,14,/scratch/user_7,0.20420123499934562,8
0,unshare,user_10,12,/scratch/user_10,0.2622071910009254,9
0,unshare,user_5,11,/scratch/user_5,0.20137773999886122,12
1,unshare,user_100,10,/scratch/user_100,0.23908447899884777,15
1,unshare,user_3,6,/scratch/user_3,0.2584307870019984,17
1,unshare,user_5,6,/scratch/user_5,0.2211538859992288,18
2,unshare,user_100,14,/scratch/user_100,0.2075025319973065,19
2,unshare,user_17,10,/scratch/user_17,0.2405096099973889,19
2,unshare,user_89,13,/scratch/user_89,0.23923378000108642,19
2,unshare,user_81,4,/scratch/user_81,0.2444073570004548,21
2,unshare,user_7,6,/scratch/user_7,0.2580107979993045,23
2,unshare,user_6,18,/scratch/user_6,0.23101567100093234,23
2,unshare,user_65,8,/scratch/user_65,0.23159967199899256,23
2,unshare,user_12,5,/scratch/user_12,0.23821483100255136,23
3,unshare,user_4,3,/scratch/user_4,0.2295692189982219,23
3,unshare,user_18,3,/scratch/user_18,0.2925422170010279,24
3,unshare,user_81,1,/scratch/user_81,0.20809100300175487,25
3,unshare,user_82,2,/scratch/user_82,0.232589346000168,25
3,unshare,user_11,7,/scratch/user_11,0.2699008789968502,25
3,unshare,user_6,3,/scratch/user_6,0.22730281300027855,25
3,unshare,user_3,11,/scratch/user_3,0.21878936700159102,25
3,unshare,user_16,9,/scratch/user_16,0.21215996099999757,26
3,unshare,user_12,14,/scratch/user_12,0.23415784800090478,26
4,unshare,user_4,17,/scratch/user_4,0.25709177699900465,26
4,unshare,user_17,9,/scratch/user_17,0.2548571980005363,26
4,unshare,user_89,9,/scratch/user_89,0.2650497689974145,26
4,unshare,user_65,8,/scratch/user_65,0.23305460699702962,26
4,unshare,user_8,12,/scratch/user_8,0.2148515500011854,26
4,unshare,user_20,9,/scratch/user_20,0.2533455410011811,26
5,unshare,user_15,13,/scratch/user_15,0.21966346399858594,26
5,unshare,user_14,1,/scratch/user_14,0.2713096500010579,26
5,unshare,user_11,16,/scratch/user_11,0.22206587999971816,26
5,unshare,user_5,7,/scratch/user_5,0.28903658899798756,24
5,unshare,user_20,3,/scratch/user_20,0.2412901099996816,24
6,unshare,user_17,4,/scratch/user_17,0.20700344700162532,23
6,unshare,user_89,8,/scratch/user_89,0.1894051790004596,21
6,unshare,user_81,15,/scratch/user_81,0.2712156199995661,20
6,unshare,user_82,7,/scratch/user_82,0.29581863199928193,20
6,unshare,user_11,3,/scratch/user_11,0.21254698600023403,20
6,unshare,user_16,16,/scratch/user_16,0.23422350200053188,20
7,unshare,user_4,8,/scratch/user_4,0.24557694800023455,20
7,unshare,user_37,8,/scratch/user_37,0.2542476059970795,20
7,unshare,user_13,3,/scratch/user_13,0.24849753099988448,21
7,unshare,user_15,4,/scratch/user_15,0.2738710850026109,21
7,unshare,user_19,7,/scratch/user_19,0.24791811699833488,22
7,unshare,user_81,15,/scratch/user_81,0.22414064700205927,22
7,unshare,user_10,24,/scratch/user_10,0.16625538500011317,23
7,unshare,user_6,13,/scratch/user_6,0.24746807899646228,23
7,unshare,user_65,17,/scratch/user_65,0.2548211989997071,24
7,unshare,user_16,8,/scratch/user_16,0.21750090999921667,24
7,unshare,user_20,4,/scratch/user_20,0.2816849180017016,24
8,unshare,user_1,25,/scratch/user_1,0.25253078899913817,25
8,unshare,user_19,11,/scratch/user_19,0.2463400080014253,27
8,unshare,user_82,11,/scratch/user_82,0.25289675000021816,27
8,unshare,user_14,26,/scratch/user_14,0.21914758200000506,28
8,unshare,user_7,24,/scratch/user_7,0.22396516099979635,28
8,unshare,user_92,3,/scratch/user_92,0.2909400030002871,28
8,unshare,user_9,6,/scratch/user_9,0.27717751799718826,29
8,unshare,user_8,4,/scratch/user_8,0.3089335690019652,29
8,unshare,user_12,20,/scratch/user_12,0.25336125700050616,29
9,unshare,user_37,8,/scratch/user_37,0.27982397899904754,29
9,unshare,user_63,3,/scratch/user_63,0.21425942800124176,29
9,unshare,user_18,7,/scratch/user_18,0.259754212002008,29
9,unshare,user_98,12,/scratch/user_98,0.23441369899956044,29
9,unshare,user_19,9,/scratch/user_19,0.23036878900165902,29
9,unshare,user_11,13,/scratch/user_11,0.292800305000128,29
9,unshare,user_7,14,/scratch/user_7,0.2676002909975068,29
9,unshare,user_92,22,/scratch/user_92,0.16412132199911866,28
9,unshare,user_9,19,/scratch/user_9,0.2415409040004306,28
9,unshare,user_32,10,/scratch/user_32,0.24713960799999768,28
9,unshare,user_65,18,/scratch/user_65,0.23383908100004192,28
9,unshare,user_8,3,/scratch/user_8,0.2530081450022408,28
9,unshare,user_12,8,/scratch/user_12,0.23112291999859735,28
10,unshare,user_100,26,/scratch/user_100,0.2346966250006517,28
10,unshare,user_1,8,/scratch/user_1,0.2703482549986802,28
10,unshare,user_81,7,/scratch/user_81,0.22250501599773997,29
10,unshare,user_10,6,/scratch/user_10,0.2304178860031243,30
10,unshare,user_6,2,/scratch/user_6,0.25607027699879836,30
10,unshare,user_3,16,/scratch/user_3,0.28984628499893006,30
10,unshare,user_12,1,/scratch/user_12,0.23188305499934359,30
11,unshare,user_37,17,/scratch/user_37,0.2791203400011,30
11,unshare,user_100,7,/scratch/user_100,0.18441156300104922,29
11,unshare,user_17,13,/scratch/user_17,0.2619769010016171,29
11,unshare,user_1,1,/scratch/user_1,0.22984643499876256,29
11,unshare,user_63,3,/scratch/user_63,0.23142893300246214,29
11,unshare,user_13,13,/scratch/user_13,0.23581717900015065,29
11,unshare,user_33,9,/scratch/user_33,0.25010295799802407,30
11,unshare,user_82,2,/scratch/user_82,0.30582123800195404,31
11,unshare,user_65,28,/scratch/user_65,0.23943051700189244,31
11,unshare,user_16,3,/scratch/user_16,0.23963635100153624,31
11,unshare,user_12,14,/scratch/user_12,0.26296928800002206,32
12,unshare,user_100,17,/scratch/user_100,0.23127565400136518,33
12,unshare,user_17,18,/scratch/user_17,0.2669862449984066,33
12,unshare,user_13,9,/scratch/user_13,0.23821114900056273,33
12,unshare,user_89,3,/scratch/user_89,0.3085116250003921,33
12,unshare,user_21,12,/scratch/user_21,0.23842481700194185,33
12,unshare,user_33,18,/scratch/user_33,0.30544179799835547,33
12,unshare,user_19,3,/scratch/user_19,0.2527722230006475,33
12,unshare,user_34,4,/scratch/user_34,0.26469871399967815,33
12,unshare,user_11,15,/scratch/user_11,0.30919155000083265,32
