,timestamp,share_count,unshare_count,total_latency
0,1,9,1,1.368286861001252
1,2,9,2,1.5070306949965016
2,3,13,2,2.0583355319977272
3,4,13,0,1.817113662003976
4,5,15,3,2.5686940729938215
5,6,13,3,2.3186927500064485
6,7,14,3,2.4233270779914164
7,8,16,2,2.5180848949930805
8,9,14,2,2.231321746003232
9,10,13,1,1.9871644069935428
10,11,14,2,2.311864807990787
11,12,17,3,2.70142804900388
12,13,16,1,2.448655514002894
13,14,15,1,2.353674180005328
14,15,16,3,2.7911875050085655
15,16,15,1,2.2534265639988007
16,17,13,5,2.6568777180073084
17,18,15,2,2.4535628149969853
18,19,17,1,2.6539086689881515
19,20,15,2,2.362155562994303
20,21,17,2,2.684953480009426
21,22,17,3,2.7866389569935563
22,23,15,2,2.476680302999739
23,24,18,1,2.6937009889988985
24,25,20,3,3.231014650005818
25,26,18,2,2.793069817009382
26,27,14,1,2.083614449999004
27,28,19,3,3.10478903499461
28,29,20,4,3.3915569899945694
29,30,18,3,3.0233641819941113
30,31,20,0,2.82600164199539
31,32,18,1,2.5838603350057383
32,33,22,2,3.4907744510055636
33,34,22,2,3.4397161270062497
34,35,23,3,3.766761520993896
35,36,20,2,3.1865723880146106
36,37,23,1,3.5351037830041605
37,38,23,3,4.009511003001535
38,39,24,4,4.281081941000593
39,40,23,3,4.119634996994137
40,41,26,2,4.179129253992869
41,42,23,2,3.948557301002438
42,43,27,1,4.287739480005257
43,44,25,2,4.166024021993508
44,45,27,4,4.7238073849912325
45,46,24,3,4.224138517012761
46,47,20,3,3.457717824006977
47,48,26,4,4.730372571004409
48,49,24,6,4.881233530999452
49,50,23,2,3.7153477829997428
50,51,26,4,4.62575482700413
51,52,25,6,4.562056521997874
52,53,25,0,3.838659095003095
53,54,26,3,4.724627952004084
54,55,27,3,4.766892766008823
55,56,28,0,4.763739322013862
56,57,27,4,5.255413136008428
57,58,30,3,5.464963443006127
58,59,29,4,5.353271980995487
59,60,28,5,5.732268377993023
60,61,27,4,5.427784431998589
61,62,26,1,4.490291405003518
62,63,26,4,5.024152187015716
63,64,25,4,4.583470805981051
64,65,30,4,5.8615706720083836
65,66,30,4,5.656780494002305
66,67,31,2,5.542377082008898
67,68,34,2,6.0693011109979125
68,69,31,2,5.561746894996759
69,70,32,3,6.008941177002271
70,71,29,2,5.344719935004832
71,72,31,4,6.079011346995685
72,73,32,2,5.555306808000751
73,74,33,2,5.777090085994132
74,75,31,2,5.536681368997961
75,76,35,3,6.617332945999806
76,77,36,4,6.706251062991214
77,78,34,5,6.716055545002746
78,79,33,2,5.960689964009362
79,80,35,6,7.289779522016033
80,81,35,2,6.397100976992078
81,82,32,3,6.1294587580014195
82,83,34,5,6.828972862997034
83,84,35,5,7.094178950010246
84,85,38,5,7.288654801988741
85,86,37,5,7.676093984991894
86,87,38,5,7.30521056201178
87,88,36,1,6.850950311993074
88,89,38,5,7.603992637999909
89,90,40,6,8.380877998020878
90,91,42,5,8.723790032996476
91,92,42,5,8.764719171009347
92,93,40,5,8.231355859006726
93,94,40,2,7.428359645000455
94,95,37,7,8.402594169998338
95,96,39,4,7.904084754009091
96,97,39,7,8.121512754987634
97,98,41,4,7.626723523000692
98,99,39,7,8.749591923995467
99,100,7,34,7.232269115000236
100,101,5,30,6.101003965999553
101,102,5,28,6.177207380991604
102,103,9,30,6.8522708600030455
103,104,8,25,5.718296166993241
104,105,8,25,5.558410252007889
105,106,9,20,5.121843166009057
106,107,6,16,4.127273287002026
107,108,9,18,4.676134316003299
108,109,4,17,3.5884707669938507
109,110,9,18,4.634106460005569
110,111,6,15,3.6280200080109353
111,112,8,15,4.012691955005721
112,113,8,18,4.175319881003816
113,114,11,17,4.6317598469941
114,115,7,19,4.182966684016719
115,116,7,17,3.8982277160066587
116,117,7,18,4.072707215000264
117,118,5,16,3.3747282610056573
118,119,5,14,2.9276767700175697
119,120,6,7,2.0688445859959756
120,121,5,9,2.2044623299880186
121,122,4,9,1.9444416330006788
122,123,5,12,2.45714469099039
123,124,6,11,2.6296349940130312
124,125,5,9,2.149916074002249
125,126,4,12,2.338761097002134
126,127,5,9,2.1100708520061744
127,128,9,11,2.966385004998301
128,129,4,6,1.4272382769959222
129,130,7,13,3.0618423580017406
130,131,5,11,2.335164112999337
131,132,4,5,1.3129504429998633
132,133,3,5,1.1254768760009028
133,134,3,4,1.0687061919961707
134,135,5,4,1.2638562969987106
135,136,3,7,1.4547880400059512
136,137,1,5,0.8244087360035337
137,138,4,4,1.1546410390037636
138,139,1,6,0.9994516360020498
139,140,1,5,0.6473556129967619
140,141,1,1,0.255184180001379
141,142,3,2,0.7381321640023089
142,143,2,2,0.532405034002295
143,144,2,4,0.8213897540008475
144,145,3,5,1.1339245730014227
145,146,3,6,1.2666940889976104
146,147,1,4,0.616495878999558
147,148,3,5,1.043051557000581
148,149,2,6,1.009785895996174
149,150,1,3,0.44736438899781206
150,151,3,4,0.9163844499962579
151,152,3,3,0.8743168990040431
152,153,4,6,1.3423363710026024
153,154,1,3,0.49186849200123106
154,155,3,3,0.8615774880017852
155,156,2,4,1.0505445520029753
156,157,3,5,1.2509078510047402
157,158,1,2,0.41928008899412816
158,159,4,3,0.94742283999949
159,160,4,4,1.2964164550030546
160,161,2,3,0.624130790005438
161,162,0,3,1.1036133259985945
162,163,4,4,1.4155457170018053
163,164,1,2,0.4416874300040945
164,165,2,3,0.6612256789958337
165,166,4,5,1.3481257599960372
166,167,1,4,0.6626913110012538
167,168,2,5,0.8896831470010511
168,169,2,4,0.8413516450018506
169,170,1,3,0.5807741879980313
170,171,2,5,0.8619191409961786
171,172,1,1,0.2222460559969477
172,173,1,2,0.35782391899920185
173,174,2,3,0.5886700259979989
174,175,1,2,0.3505551669986744
175,176,0,2,0.2325928259997454
176,177,2,3,0.7051045240041276
177,178,0,2,0.19512509800188127
178,179,2,1,0.3538358110017725
179,180,3,3,0.8121525039969129
180,181,3,3,0.7706805010056996
181,182,2,5,0.9993093430057343
182,183,2,4,0.8348218479986826
183,184,2,4,0.7190692279982613
184,185,1,3,0.5422434079991945
185,186,2,2,0.6259812050011533
186,187,1,4,0.7235255840023456
187,188,1,3,0.5954557270015357
188,189,1,2,0.36356674100170494
189,190,2,3,0.5927525860024616
190,191,1,1,0.21582897199914441
191,192,2,2,0.6462537009974767
192,193,4,4,1.0853662729969074
193,194,3,5,1.1508017080013815
194,195,2,3,0.8799826110007416
195,196,1,4,0.5830809410035727
196,197,1,1,0.2631572980026249
197,198,1,1,0.2839693830028409
198,199,3,4,0.8999316040026315
199,200,0,3,0.3676297210040502
