tick,operation,from_user,to_users_count,resource,latency,num_contexts
0,unshare,user_18,3,/scratch/user_18,0.24629737200120871,2
0,unshare,user_20,2,/scratch/user_20,0.24721428799966816,3
0,unshare,user_13,2,/scratch/user_13,0.32149327600018296,5
0,unshare,user_15,10,/scratch/user_15,0.33754469099949347,6
0,unshare,user_80,5,/scratch/user_80,0.3352596099994116,10
0,unshare,user_92,4,/scratch/user_92,0.28697978599848284,12
1,unshare,user_17,9,/scratch/user_17,0.25834437499906926,15
1,unshare,user_11,3,/scratch/user_11,0.20426726000005146,16
1,unshare,user_16,3,/scratch/user_16,0.34634973900028854,17
1,unshare,user_2,11,/scratch/user_2,0.2878873339996062,19
1,unshare,user_19,11,/scratch/user_19,0.26718567100033397,19
2,unshare,user_13,5,/scratch/user_13,0.28334458700010146,19
2,unshare,user_9,6,/scratch/user_9,0.3034106690010958,22
2,unshare,user_2,3,/scratch/user_2,0.21526359800009232,20
2,unshare,user_80,2,/scratch/user_80,0.31289600300078746,20
2,unshare,user_19,2,/scratch/user_19,0.3171237120004662,21
3,unshare,user_8,2,/scratch/user_8,0.2481551370001398,21
3,unshare,user_1,1,/scratch/user_1,0.28652100900035293,21
3,unshare,user_15,5,/scratch/user_15,0.27848363800148945,22
3,unshare,user_87,9,/scratch/user_87,0.2725911809993704,22
3,unshare,user_9,5,/scratch/user_9,0.33196021699950506,22
4,unshare,user_18,12,/scratch/user_18,0.32381955399978324,23
4,unshare,user_3,10,/scratch/user_3,0.32302363900089404,23
4,unshare,user_11,11,/scratch/user_11,0.37017351100075757,23
4,unshare,user_13,8,/scratch/user_13,0.46738187899973127,22
4,unshare,user_66,2,/scratch/user_66,0.2956018530003348,23
4,unshare,user_10,2,/scratch/user_10,0.3084781440011284,23
4,unshare,user_87,1,/scratch/user_87,0.2818663550006022,23
4,unshare,user_7,10,/scratch/user_7,0.30124039700058347,22
5,unshare,user_11,9,/scratch/user_11,0.37144827200063446,23
5,unshare,user_20,14,/scratch/user_20,0.27895944400006556,24
5,unshare,user_64,22,/scratch/user_64,0.3779608589993586,24
5,unshare,user_87,4,/scratch/user_87,0.32588690299962764,24
5,unshare,user_4,9,/scratch/user_4,0.30690752999908,25
5,unshare,user_7,2,/scratch/user_7,0.30106453000007605,25
5,unshare,user_19,22,/scratch/user_19,0.35127394600021944,25
6,unshare,user_59,1,/scratch/user_59,0.33416065699930186,26
6,unshare,user_17,20,/scratch/user_17,0.40569723999942653,27
6,unshare,user_13,9,/scratch/user_13,0.3359492439994938,30
7,unshare,user_47,18,/scratch/user_47,0.34951858400017954,26
7,unshare,user_42,17,/scratch/user_42,0.34177020999959495,26
7,unshare,user_59,24,/scratch/user_59,0.3597220029987511,27
7,unshare,user_20,10,/scratch/user_20,0.3231072969992965,28
7,unshare,user_13,12,/scratch/user_13,0.3843519660003949,28
7,unshare,user_66,1,/scratch/user_66,0.33660813300048176,28
7,unshare,user_14,20,/scratch/user_14,0.3182045499997912,29
7,unshare,user_91,9,/scratch/user_91,0.35716651099937735,30
7,unshare,user_12,7,/scratch/user_12,0.335650095001256,31
7,unshare,user_80,27,/scratch/user_80,0.39444084800015844,31
7,unshare,user_19,9,/scratch/user_19,0.33056430500073475,31
8,unshare,user_42,13,/scratch/user_42,0.3527311819998431,31
8,unshare,user_26,9,/scratch/user_26,0.34224301599897444,31
8,unshare,user_13,19,/scratch/user_13,0.6537159970011999,32
8,unshare,user_66,14,/scratch/user_66,0.24310868199972901,32
8,unshare,user_87,1,/scratch/user_87,0.28280943499885325,32
8,unshare,user_4,3,/scratch/user_4,0.28930593699988094,32
8,unshare,user_92,22,/scratch/user_92,0.23623326799861388,32
9,unshare,user_26,10,/scratch/user_26,0.31855727699985437,31
9,unshare,user_3,29,/scratch/user_3,0.2632076900008542,31
9,unshare,user_11,10,/scratch/user_11,0.2636420229991927,31
9,unshare,user_16,1,/scratch/user_16,0.2992062769990298,32
9,unshare,user_67,3,/scratch/user_67,0.302636654001617,32
9,unshare,user_15,29,/scratch/user_15,0.2606069839985139,32
9,unshare,user_10,8,/scratch/user_10,0.2894841119996272,32
9,unshare,user_64,1,/scratch/user_64,0.23826802400071756,32
9,unshare,user_98,1,/scratch/user_98,0.26763161099916033,33
9,unshare,user_14,1,/scratch/user_14,0.24047869199966954,34
9,unshare,user_92,11,/scratch/user_92,0.24520685999959824,33
10,unshare,user_100,7,/scratch/user_100,0.3159864949993789,32
10,unshare,user_18,13,/scratch/user_18,0.5129379379995953,32
10,unshare,user_86,7,/scratch/user_86,0.30605003900018346,32
10,unshare,user_11,8,/scratch/user_11,0.35524517099838704,32
10,unshare,user_15,5,/scratch/user_15,0.23367436500120675,30
10,unshare,user_14,5,/scratch/user_14,0.3236536709991924,30
10,unshare,user_4,8,/scratch/user_4,0.29372791800051345,30
10,unshare,user_19,3,/scratch/user_19,0.33245021600123437,31
11,unshare,user_26,15,/scratch/user_26,0.34901376200105005,31
11,unshare,user_6,34,/scratch/user_6,0.36849901800087537,32
11,unshare,user_67,7,/scratch/user_67,0.41334348500095075,32
11,unshare,user_13,10,/scratch/user_13,0.37015818799955014,33
11,unshare,user_56,15,/scratch/user_56,0.38823681699977897,32
11,unshare,user_12,2,/scratch/user_12,0.35188806199948885,31
11,unshare,user_7,32,/scratch/user_7,0.3655760250003368,31
11,unshare,user_5,22,/scratch/user_5,0.4077460330008762,31
11,unshare,user_19,4,/scratch/user_19,0.46882358900074905,31
12,unshare,user_42,14,/scratch/user_42,0.5940099059989734,32
12,unshare,user_1,3,/scratch/user_1,0.4330182119992969,32
12,unshare,user_17,25,/scratch/user_17,0.3942676649985515,32
12,unshare,user_3,8,/scratch/user_3,0.3390573619999486,32
12,unshare,user_13,12,/scratch/user_13,0.37548966400026984,31
12,unshare,user_50,16,/scratch/user_50,0.5100260700000945,32
12,unshare,user_87,6,/scratch/user_87,0.4200663440005883,33
12,unshare,user_98,22,/scratch/user_98,0.39875992399902316,33
12,unshare,user_9,5,/scratch/user_9,0.4120269280010689,33
12,unshare,user_91,34,/scratch/user_91,0.4358911010003794,34
12,unshare,user_12,30,/scratch/user_12,0.37649237900041044,34
12,unshare,user_80,12,/scratch/user_80,0.3884872170001472,35
13,unshare,user_17,24,/scratch/user_17,0.6075410260000353,37
13,unshare,user_11,23,/scratch/user_11,0.344839879000574,36
13,unshare,user_20,25,/scratch/user_20,0.44169123800020316,36
13,unshare,user_13,38,/scratch/user_13,0.40454431400030444,36
13,unshare,user_50,1,/scratch/user_50,0.32161041799918166,37
13,unshare,user_10,34,/scratch/user_10,0.40762214899950777,37
13,unshare,user_56,35,/scratch/user_56,0.4115898620002554,37
13,unshare,user_14,18,/scratch/user_14,0.38151147900134674,37
13,unshare,user_75,2,/scratch/user_75,0.3944871929998044,37
13,unshare,user_7,1,/scratch/user_7,0.42296940900087066,37
13,unshare,user_92,21,/scratch/user_92,0.4663463810011308,37
14,unshare,user_47,28,/scratch/user_47,0.3987541559999954,38
14,unshare,user_1,24,/scratch/user_1,0.34802289300023403,38
14,unshare,user_31,4,/scratch/user_31,0.410727204000068,39
14,unshare,user_86,10,/scratch/user_86,0.4130157070012501,39
14,unshare,user_11,4,/scratch/user_11,0.3497374399994442,42
14,unshare,user_96,21,/scratch/user_96,0.39338741400024446,42
14,unshare,user_15,2,/scratch/user_15,0.3534367780011962,43
14,unshare,user_98,2,/scratch/user_98,0.27067083599831676,42
14,unshare,user_14,4,/scratch/user_14,0.35767069800022,42
14,unshare,user_91,4,/scratch/user_91,0.38439974900029483,42
14,unshare,user_92,3,/scratch/user_92,0.35877991000052134,41
14,unshare,user_32,27,/scratch/user_32,0.4108566359991528,41
15,unshare,user_42,25,/scratch/user_42,0.47585091200016905,41
15,unshare,user_59,1,/scratch/user_59,0.38843250799982343,40
15,unshare,user_26,5,/scratch/user_26,0.38113413199971546,40
15,unshare,user_18,3,/scratch/user_18,0.40079243000036513,41
15,unshare,user_49,27,/scratch/user_49,0.5772367029985617,41
15,unshare,user_6,11,/scratch/user_6,0.4232619419999537,40
15,unshare,user_13,9,/scratch/user_13,0.42839952900067146,40
15,unshare,user_96,15,/scratch/user_96,0.5761917929994524,39
15,unshare,user_50,2,/scratch/user_50,0.3370562890013389,38
15,unshare,user_14,21,/scratch/user_14,0.4294199510004546,38
15,unshare,user_4,18,/scratch/user_4,0.4313255779998144,38
15,unshare,user_32,17,/scratch/user_32,0.4203786180005409,38
15,unshare,user_19,9,/scratch/user_19,0.4533160070004669,39
16,unshare,user_47,23,/scratch/user_47,0.4993549009996059,39
16,unshare,user_42,7,/scratch/user_42,0.38612990000001446,39
16,unshare,user_8,33,/scratch/user_8,0.474260017999768,40
16,unshare,user_18,23,/scratch/user_18,0.4817495240004064,40
16,unshare,user_17,6,/scratch/user_17,0.36695064600098704,40
16,unshare,user_49,3,/scratch/user_49,0.34225526299997,40
16,unshare,user_3,16,/scratch/user_3,0.45189830799972697,40
16,unshare,user_48,5,/scratch/user_48,0.40560299800017674,40
16,unshare,user_11,23,/scratch/user_11,0.4645611879986973,40
16,unshare,user_82,37,/scratch/user_82,0.48892336599965347,40
16,unshare,user_14,6,/scratch/user_14,0.38160770399917965,43
16,unshare,user_91,8,/scratch/user_91,0.3517866090005555,43
16,unshare,user_12,25,/scratch/user_12,0.5352976470003341,43
16,unshare,user_4,13,/scratch/user_4,0.47254970599897206,43
16,unshare,user_5,18,/scratch/user_5,0.4313224399993487,43
16,unshare,user_19,10,/scratch/user_19,0.40320159399925615,43
17,unshare,user_26,24,/scratch/user_26,0.4972172239995416,43
17,unshare,user_86,32,/scratch/user_86,0.5860179329993116,43
17,unshare,user_49,40,/scratch/user_49,0.5885592270005873,43
17,unshare,user_3,2,/scratch/user_3,0.38472267699944496,43
17,unshare,user_48,24,/scratch/user_48,0.5183877809995465,43
17,unshare,user_6,5,/scratch/user_6,0.35784666699873924,43
17,unshare,user_13,35,/scratch/user_13,0.44746183500137704,44
17,unshare,user_96,6,/scratch/user_96,0.35740300200086494,44
17,unshare,user_50,2,/scratch/user_50,0.3399466190003295,44
17,unshare,user_12,3,/scratch/user_12,0.3467254170009255,43
17,unshare,user_19,16,/scratch/user_19,0.3777320190001774,44
18,unshare,user_100,23,/scratch/user_100,0.48108478100039065,45
18,unshare,user_59,12,/scratch/user_59,0.4539647689998674,45
18,unshare,user_17,18,/scratch/user_17,0.4317452590003086,45
18,unshare,user_31,39,/scratch/user_31,0.6222060229993076,45
18,unshare,user_49,3,/scratch/user_49,0.3265782489997946,45
18,unshare,user_48,17,/scratch/user_48,0.5071891749994393,45
18,unshare,user_82,30,/scratch/user_82,0.5729150869992736,45
18,unshare,user_13,5,/scratch/user_13,0.42102671999964514,47
18,unshare,user_15,36,/scratch/user_15,0.5398703270002443,48
18,unshare,user_10,9,/scratch/user_10,0.37782582600084424,48
18,unshare,user_64,41,/scratch/user_64,0.5873789800007216,48
18,unshare,user_98,9,/scratch/user_98,0.47191083600046113,48
18,unshare,user_9,25,/scratch/user_9,0.5228782809990662,48
18,unshare,user_55,2,/scratch/user_55,0.3213126310001826,48
18,unshare,user_91,25,/scratch/user_91,0.5068775260006078,48
18,unshare,user_36,4,/scratch/user_36,0.39766154999961145,48
18,unshare,user_4,2,/scratch/user_4,0.5324814180003159,48
18,unshare,user_92,4,/scratch/user_92,0.5195267889994284,47
19,unshare,user_8,9,/scratch/user_8,0.5271444239988341,47
19,unshare,user_59,7,/scratch/user_59,0.45461046699892904,47
