,timestamp,share_count,unshare_count,total_latency
0,1,10,0,1.1821372499999825
1,2,11,0,1.4233974270000544
2,3,7,2,1.1975345350000453
3,4,11,2,1.730218509000224
4,5,10,1,1.4893051520000427
5,6,11,1,1.5786813540000821
6,7,11,0,1.3543953079997664
7,8,12,1,1.6373365590002322
8,9,11,2,1.662897874000123
9,10,13,2,1.981473144999768
10,11,11,2,1.7417860620000738
11,12,10,1,1.4578929830001925
12,13,11,2,1.65184856999997
13,14,16,2,2.4537822419996473
14,15,14,0,1.9388466590002054
15,16,17,0,2.3154039140000577
16,17,16,2,2.4790404849999277
17,18,15,3,2.4788431130002664
18,19,17,3,2.856359842000188
19,20,21,2,3.4026010249998535
20,21,22,1,3.2162888530002647
21,22,18,4,3.0881582730002037
22,23,20,5,3.5893760510001584
23,24,21,2,3.393215745000134
24,25,22,4,3.755180422999956
25,26,23,6,4.138438819000271
26,27,23,1,3.373629303000371
27,28,21,0,2.963317817999723
28,29,21,2,3.1925697160000936
29,30,23,2,3.6808977220000543
30,31,21,5,3.8331591549999757
31,32,22,2,3.4529784179997023
32,33,21,2,3.319124310000234
33,34,22,3,3.7937094379999508
34,35,21,1,3.2139246070001946
35,36,24,2,3.947071612000059
36,37,25,5,4.580515031000118
37,38,23,4,4.3602527400003055
38,39,26,1,4.246824886999889
39,40,24,3,5.009330578000117
40,41,24,2,4.388909577999925
41,42,29,4,5.521119739999904
42,43,23,2,4.284254521000207
43,44,28,3,3.5553512460001
44,45,26,3,4.274171730000262
45,46,28,3,4.3968880670003045
46,47,31,6,4.326194187000283
47,48,27,2,2.9099418210003023
48,49,27,1,3.2215674509999417
49,50,30,2,3.042352165999887
50,51,30,4,3.874551512000153
51,52,32,4,4.196653244000345
52,53,31,1,3.8006081640000957
53,54,33,2,4.396573355999976
54,55,34,3,4.609747594999817
55,56,32,1,3.937703504999945
56,57,33,4,4.993985863000034
57,58,35,3,4.726255818000254
58,59,33,1,4.28158405899967
59,60,36,3,5.049585672000603
60,61,34,2,4.200386833999801
61,62,35,2,4.230435690999684
62,63,35,4,5.2356963840003345
