,timestamp,share_count,unshare_count,total_latency
0,1,10,1,1.3685379059988918
1,2,12,1,1.8186602710002262
2,3,11,1,1.6654286989996763
3,4,9,1,1.3172664429985161
4,5,10,2,1.5372508689988535
5,6,11,2,1.7679043849993832
6,7,11,2,1.789915653997923
7,8,13,2,2.1197307190013817
8,9,12,0,1.6064621320001606
9,10,14,3,2.3812760770024397
10,11,13,6,2.568869462001203
11,12,14,3,2.414450550998481
12,13,12,0,1.6641219719995206
13,14,14,2,2.269780894000178
14,15,12,0,1.673202504000983
15,16,13,0,1.7743883160001133
16,17,16,2,2.736760303000665
17,18,16,2,2.684956962002616
18,19,16,1,2.4292892019993815
19,20,16,2,2.511418537999816
20,21,17,2,2.7196761019995392
21,22,15,1,2.177403357998628
22,23,16,3,2.7775383980006154
23,24,19,3,3.347789292998641
24,25,19,3,3.4992015380012162
25,26,20,1,3.1527502560020366
26,27,19,4,3.525915795999026
27,28,20,2,3.293994519998705
28,29,21,1,3.5575472900000022
29,30,22,3,3.8499997770004484
30,31,20,2,3.516066438000962
31,32,22,2,3.871545716999208
32,33,23,3,4.14195850499982
33,34,23,2,4.223722040000212
34,35,24,0,3.7396285410040946
35,36,25,3,4.420718168996245
36,37,24,4,4.7341975260033
37,38,25,2,4.2406342860012955
38,39,25,1,4.075408823999169
39,40,23,4,3.918161324999346
40,41,25,5,4.602739858998575
41,42,21,3,3.824141726999187
42,43,24,5,4.6708228810039145
43,44,26,2,4.622797672997876
44,45,28,3,4.837032517001717
45,46,25,2,4.353691808000804
46,47,27,3,5.0453858089977075
47,48,29,5,5.636660546000712
48,49,26,4,4.5692550240000855
49,50,27,2,4.879486549998546
50,51,22,4,4.25653162600247
51,52,28,5,5.608534267998948
52,53,29,3,5.047021372001836
53,54,28,3,3.5710009290005473
54,55,33,5,4.331794474995149
55,56,33,4,3.308003613999972
56,57,32,5,3.4597659219998604
57,58,30,3,3.44615019199955
58,59,34,6,3.6764610600039305
59,60,31,6,3.597301400996912
60,61,32,4,3.595391228000153
61,62,33,3,2.7391865439994945
62,63,35,3,3.3413274329977867
63,64,34,5,3.640952816999743
64,65,33,6,3.6600226020018454
65,66,34,1,3.054449227995974
66,67,33,3,3.0985820140003852
67,68,35,2,3.475219036001363
68,69,37,9,3.8320371779991547
69,70,36,4,4.122072761004347
70,71,35,4,3.3547826310023083
71,72,36,1,3.227365587999884
72,73,39,1,3.2833979700017153
73,74,33,7,3.688127365001492
74,75,38,4,3.8027633650026473
75,76,37,1,3.327711761995488
76,77,42,6,5.08546307800043
77,78,38,7,4.427864615000544
78,79,40,6,4.679083723998701
79,80,42,6,5.499256524000884
80,81,39,2,4.019169536005393
81,82,38,5,4.736979178003821
82,83,42,5,4.411004713000693
83,84,40,4,4.745626521999839
84,85,45,5,5.712378594003894
85,86,41,7,4.976502342995445
86,87,45,5,5.286560905000442
87,88,45,4,5.429323772999851
88,89,44,3,5.629611068999111
89,90,43,1,4.661775432003196
90,91,42,6,5.202852982999502
91,92,43,3,4.994248923999294
92,93,47,3,5.064549439997791
93,94,43,6,5.387669544001255
94,95,44,4,5.90235053500146
95,96,44,7,5.349089085000742
96,97,45,8,6.526588273998641
97,98,47,3,6.225786846997835
98,99,49,3,6.675344329998552
99,100,8,39,6.1921113869948385
100,101,11,39,6.573554620998948
101,102,13,33,5.443814903002021
102,103,6,33,5.523242095004207
103,104,13,27,5.701369030000933
104,105,7,23,4.641938545001722
105,106,7,22,4.4481020800003535
106,107,8,21,4.643981429997439
107,108,5,21,3.539098274000935
108,109,5,12,2.9734757780006476
109,110,7,19,3.6405675830010296
110,111,8,17,3.757011440000497
111,112,6,19,3.188737279999259
112,113,5,13,2.4530892459988536
113,114,6,15,2.9313091149988395
114,115,6,14,2.6178139379999266
115,116,4,14,2.853104184001495
116,117,3,12,2.265666085000703
117,118,9,11,2.803658037000787
118,119,2,11,1.9461779989969727
119,120,4,10,1.7811193330007882
120,121,7,12,2.2920110530003512
121,122,11,19,3.3808619729989005
122,123,4,11,1.8806790810003804
123,124,6,14,2.2728757069990024
124,125,4,11,1.4489449929997136
125,126,5,14,2.607756458998665
126,127,6,8,1.8173012180013757
127,128,6,11,2.622551178001231
128,129,3,7,1.5113867089985433
129,130,7,10,2.798824921997948
130,131,7,10,2.9542329489968324
131,132,5,11,2.5672471000007135
132,133,2,6,1.3866942560025564
133,134,4,9,2.077187514999423
134,135,5,10,2.420536008002273
135,136,4,10,2.2601303709971035
136,137,7,13,3.1785870870025974
137,138,5,13,2.721983485999772
138,139,5,11,2.512275510001018
139,140,2,8,1.4351352830008182
140,141,5,8,2.1111748120010816
141,142,2,5,1.0143392919999314
142,143,5,7,1.804974805000711
143,144,4,8,1.8690250700010438
144,145,3,6,1.408251537999604
145,146,0,6,0.8367669950011987
146,147,3,3,0.9937456610005029
147,148,2,6,1.1921872070015525
148,149,3,6,1.3008149989982485
149,150,2,4,0.8123947670010239
150,151,2,5,1.043525408998903
151,152,1,3,0.5628046689989787
152,153,0,3,0.30722792400047183
153,154,1,0,0.1590443810000579
154,155,1,2,0.40124211099919194
155,156,3,4,1.0023741929999233
156,157,2,4,0.8453605730001073
157,158,1,2,0.3710641930001657
158,159,0,2,0.20945200900041527
159,160,1,2,0.35864434799987066
160,161,2,2,0.5684203999999227
161,162,2,4,0.7962165329990967
162,163,2,3,0.5782104420004543
163,164,3,4,0.9279233360002763
164,165,5,5,1.354452764000598
165,166,3,5,1.1170943450006234
166,167,0,5,0.5498994049976318
167,168,2,3,0.6526037980002002
168,169,1,2,0.3906871910003247
169,170,1,1,0.2745153260002553
170,171,4,3,0.9366984980015332
171,172,2,4,0.9286476719998973
172,173,3,4,1.124677414000871
173,174,2,6,1.0775433390017497
174,175,2,4,0.8228904739999052
175,176,1,3,0.5727101269985724
176,177,1,2,0.4289887280001494
177,178,2,3,0.695979728000566
178,179,2,2,0.5568358919990715
179,180,4,4,1.150970106999921
180,181,1,5,0.8797415450007975
181,182,3,4,1.0091293430004953
182,183,3,6,1.1707090670024627
183,184,0,3,0.37517308200040134
184,185,4,4,1.2458606730024258
185,186,1,4,0.7288169520006704
186,187,3,6,1.1955028779993881
187,188,1,2,0.3661064620000616
188,189,0,0,0.0
189,190,4,3,1.0551389510001172
190,191,2,4,0.9796837570002026
191,192,0,3,0.4897466070015071
