,timestamp,share_count,unshare_count,total_latency
0,1,8,2,1.4083788100006132
1,2,10,1,1.7467651959977957
2,3,10,0,1.4985455230016669
3,4,7,3,1.4601581550004994
4,5,11,2,2.017472292999628
5,6,11,2,2.037645877000614
6,7,10,1,1.7052820160015472
7,8,9,2,1.6689405699989948
8,9,10,0,1.5122515759994712
9,10,11,2,1.9149483129995133
10,11,8,0,1.2173691670013795
11,12,12,1,1.9558961100001397
12,13,12,2,2.276789246999215
13,14,14,0,2.2148739450030916
14,15,14,0,2.1339276459993926
15,16,15,1,2.487498548000076
16,17,13,0,2.1461782770002173
17,18,16,1,2.777820514997984
18,19,15,2,2.7243034160001116
19,20,18,1,3.0061356359992715
20,21,16,1,2.615558327001054
21,22,18,2,3.164557297997817
22,23,18,2,3.2838089219985704
23,24,18,3,3.373706211998069
24,25,19,4,4.027498955002557
25,26,18,3,3.4908614489968386
26,27,19,3,3.8991791550006383
27,28,20,2,3.7088138529961725
28,29,20,1,3.510489852000319
29,30,21,0,3.436703208999461
30,31,20,1,3.532762607999757
31,32,22,2,4.075166878002165
32,33,23,2,4.276115964999917
33,34,24,2,4.42997010900217
34,35,23,3,4.604903334998198
35,36,24,5,5.264063923998037
36,37,24,3,4.933822952999435
37,38,26,4,5.699059361002583
38,39,24,2,4.737077369000872
39,40,27,2,5.566817590000937
40,41,27,4,5.820213015998888
41,42,30,2,6.040887509999266
42,43,32,10,7.57840439699703
43,44,30,6,6.773904523000965
44,45,31,5,4.786919047001902
45,46,31,3,3.6946799370025474
46,47,32,1,4.058435152997845
47,48,30,3,3.5034302089998164
48,49,27,2,3.110642652003662
49,50,34,4,4.282838957999047
50,51,31,4,3.857950472000084
51,52,29,3,3.7960386759996254
52,53,35,2,4.423468242001945
53,54,36,3,4.402773239999078
54,55,32,3,4.661259225999856
55,56,35,1,3.5073451610023767
56,57,33,6,4.142131878999862
57,58,37,7,4.884666800006016
58,59,34,5,4.594517005999478
59,60,37,2,4.912271242002134
60,61,32,7,4.4976586350003345
61,62,35,2,4.140267267998752
62,63,36,4,4.748809514999266
63,64,39,5,5.850793714001156
64,65,39,2,4.87712724600533
65,66,39,6,5.597160899997107
66,67,40,7,5.8341801379983735
67,68,41,4,5.425485217002461
68,69,40,6,6.447173711997493
69,70,40,2,4.377530684002522
70,71,39,6,5.354122619000009
71,72,40,6,6.093470896003055
72,73,44,6,5.947216035002384
73,74,42,3,5.957546200000252
74,75,41,4,5.994475258999955
75,76,44,1,5.5131767500015485
76,77,43,4,4.75558147600168
77,78,44,3,5.165256044998387
78,79,42,3,4.571779783003876
79,80,41,8,4.712617867001427
80,81,42,5,4.9621578979986225
81,82,44,2,4.667658830003347
82,83,38,5,4.613264984001944
83,84,41,3,4.361276269002701
84,85,43,1,4.764604479001719
85,86,47,5,6.604541385001539
86,87,44,5,6.251099790000808
87,88,49,6,8.620717682998475
88,89,44,4,6.032320489000085
89,90,48,7,6.357951370005139
90,91,44,7,7.190830506998282
91,92,42,4,5.711961219997647
92,93,49,4,6.459525389994269
93,94,45,7,6.594847513999412
94,95,48,8,6.994919913005106
95,96,46,3,5.915350197999942
96,97,41,1,4.197946858999785
97,98,48,6,5.157814069003507
98,99,45,4,5.473267200003647
99,100,13,44,6.728132403000927
100,101,10,37,5.17735513200023
101,102,13,39,6.073091561999718
102,103,8,34,4.765028752999569
103,104,11,31,5.160044079000727
104,105,7,27,3.7494847229972947
105,106,7,24,5.095165181999619
106,107,11,24,4.348021268001503
107,108,7,22,3.8393198049989223
108,109,5,20,2.8736566989991843
109,110,7,21,3.3197529500012024
110,111,11,19,3.922907428000144
111,112,5,16,2.8334923239999625
112,113,10,24,4.766292190000058
113,114,5,19,3.061426085002495
114,115,10,17,3.7396070399991004
115,116,11,19,4.4241069789986796
116,117,5,16,3.4410225149977123
117,118,6,14,2.748083209997276
118,119,4,18,3.3089961790019515
119,120,6,15,2.5075058459988213
120,121,5,13,2.268345570000747
121,122,6,14,1.976510120999592
122,123,10,14,2.8042223910006214
123,124,7,15,2.9350605150020783
124,125,7,16,3.4128593499981434
125,126,4,14,2.305253592002373
126,127,5,19,3.019267189000857
127,128,6,15,3.0146271289986544
128,129,6,15,2.8725407940000878
129,130,5,10,1.5837274609975793
130,131,9,11,2.384890663000988
131,132,9,9,2.269691694003086
132,133,7,12,2.1154201439985627
133,134,2,9,1.2771805329994095
134,135,5,10,1.3974759859993355
135,136,7,12,2.2021026260017607
136,137,5,11,1.648586557001181
137,138,4,11,1.7164221689990882
138,139,4,10,1.7485447180006304
139,140,7,11,1.8776055400003315
140,141,1,9,1.3180550759998368
141,142,3,8,1.3449362289993587
142,143,6,6,1.1908160130005854
143,144,2,3,0.4770564150003338
144,145,4,4,0.5988228749993141
145,146,0,5,0.3401157289990806
146,147,4,6,1.1294572159995369
147,148,3,5,0.8862076779987547
148,149,4,5,0.9641789549996247
149,150,0,3,0.20220870400044078
150,151,4,7,1.0688271780009018
151,152,5,3,0.8343988840006205
152,153,1,5,0.5929940170017289
153,154,2,4,0.5213365970012092
154,155,2,5,0.6756960230004552
155,156,0,1,0.055865854999865405
156,157,1,0,0.06758723500024644
157,158,2,3,0.4836791080006151
158,159,2,5,0.8063532670012137
159,160,4,4,0.8937352099992495
160,161,3,3,0.4334412379994319
161,162,1,3,0.23873106399969402
162,163,4,5,0.5267778290008209
163,164,1,5,0.4163947500001086
164,165,1,3,0.24353479000092193
165,166,1,3,0.4300983469993298
166,167,1,2,0.419457261999014
167,168,4,4,0.6411081309997826
168,169,3,3,0.43731504600054905
169,170,4,3,0.7521009619995311
170,171,1,3,0.2528350779994071
171,172,4,5,0.7949714279993714
172,173,4,6,0.7074457349999648
173,174,1,5,0.5071107049998318
174,175,2,4,0.3909825219980121
175,176,2,5,0.6331756789995779
176,177,3,7,0.746706187998825
177,178,3,4,0.5042011500008812
178,179,1,5,0.37775880099889037
179,180,4,5,1.0734653609997622
180,181,2,5,0.5122715610013984
181,182,4,5,0.9470746769984544
182,183,4,5,0.7912634959984644
183,184,1,4,0.3940209500005949
184,185,1,6,0.7465731879992745
185,186,1,3,0.32552433400178415
186,187,1,2,0.3141461639997942
187,188,0,1,0.07101041599980817
188,189,3,1,0.2578520570004912
189,190,1,3,0.27617984100106696
190,191,2,3,0.47155030900012207
191,192,1,2,0.17633976499928394
192,193,2,3,0.5468287439998676
193,194,1,3,0.4169969590002438
194,195,3,3,0.3683684279985755
195,196,2,4,0.5939653129980798
196,197,0,2,0.11933419900105946
197,198,1,0,0.06001078799999959
198,199,1,2,0.18815623100090306
199,200,1,2,0.18414646500059462
