,operation,from_user,to_users_count,resource,latency,num_contexts
0,share,user_7,1,/scratch/user_7,0.13202843099952588,1
1,share,user_3,5,/scratch/user_3,0.12833912400037661,2
2,share,user_5,7,/scratch/user_5,0.1388469610001266,3
3,share,user_8,3,/scratch/user_8,0.12840674900053273,4
4,share,user_10,1,/scratch/user_10,0.12653470100030972,5
5,share,user_9,6,/scratch/user_9,0.14937087899943435,6
6,share,user_4,6,/scratch/user_4,0.13611736500024563,7
7,share,user_1,7,/scratch/user_1,0.14622836599937727,8
8,share,user_64,3,/scratch/user_64,0.13715003599918418,9
9,share,user_7,5,/scratch/user_7,0.1514066380004806,9
10,share,user_3,9,/scratch/user_3,0.16995454999960202,9
11,share,user_5,4,/scratch/user_5,0.1612859719998596,9
12,share,user_8,8,/scratch/user_8,0.16455877699991106,9
13,share,user_10,2,/scratch/user_10,0.15923079599997436,9
14,share,user_2,2,/scratch/user_2,0.15050742600033118,10
15,share,user_9,8,/scratch/user_9,0.17395285799921112,10
16,share,user_4,8,/scratch/user_4,0.17226931000004697,10
17,share,user_1,8,/scratch/user_1,0.16973792299995694,10
18,share,user_64,5,/scratch/user_64,0.1629725619995952,10
19,share,user_7,6,/scratch/user_7,0.16384344099969894,10
20,share,user_3,8,/scratch/user_3,0.14548411300074804,10
21,share,user_5,1,/scratch/user_5,0.14392444000077376,10
22,share,user_8,7,/scratch/user_8,0.1491235860003144,9
23,share,user_10,4,/scratch/user_10,0.15689882800052146,9
24,share,user_9,6,/scratch/user_9,0.13510331900033634,9
25,share,user_4,6,/scratch/user_4,0.15815495800052304,9
26,share,user_6,5,/scratch/user_6,0.12827920699965034,10
27,share,user_1,10,/scratch/user_1,0.15476106899950537,9
28,share,user_7,4,/scratch/user_7,0.14842016700004024,8
29,share,user_8,8,/scratch/user_8,0.1368722440001875,9
30,share,user_10,3,/scratch/user_10,0.16747041399958107,9
31,share,user_9,7,/scratch/user_9,0.17398573399987072,8
32,share,user_4,3,/scratch/user_4,0.1424859339995237,8
33,share,user_6,3,/scratch/user_6,0.16979988200000662,8
34,share,user_1,7,/scratch/user_1,0.1498892990002787,8
35,share,user_64,9,/scratch/user_64,0.17090934499992727,8
36,share,user_7,8,/scratch/user_7,0.14018859099996916,9
37,share,user_3,2,/scratch/user_3,0.1599797580001905,9
38,share,user_5,6,/scratch/user_5,0.1547766519997822,8
