operation,from_user,to_users_count,resource,latency,num_contexts
unshare,user_6,1,/scratch/user_6,0.0830012269980216,9
unshare,user_7,4,/scratch/user_7,0.13666045100035262,10
unshare,user_3,2,/scratch/user_3,0.130192247001105,10
unshare,user_3,5,/scratch/user_3,0.1300806619983632,9
unshare,user_6,8,/scratch/user_6,0.14121293400239665,10
unshare,user_3,7,/scratch/user_3,0.0974403500003973,9
unshare,user_7,6,/scratch/user_7,0.1373983700032113,11
unshare,user_19,10,/scratch/user_19,0.13580565099982778,7
unshare,user_88,1,/scratch/user_88,0.1436457790005079,9
unshare,user_2,9,/scratch/user_2,0.15618064199952642,9
unshare,user_4,6,/scratch/user_4,0.14509732900114614,9
unshare,user_7,8,/scratch/user_7,0.149533521002013,9
unshare,user_61,2,/scratch/user_61,0.14224602000103914,11
unshare,user_3,4,/scratch/user_3,0.1610584599984577,11
unshare,user_8,9,/scratch/user_8,0.15309328900184482,11
unshare,user_19,2,/scratch/user_19,0.1320364189996326,10
unshare,user_3,7,/scratch/user_3,0.13278263100073673,10
unshare,user_10,16,/scratch/user_10,0.11419948399998248,10
unshare,user_8,2,/scratch/user_8,0.15966282399676857,8
unshare,user_3,3,/scratch/user_3,0.1390159570000833,8
unshare,user_63,6,/scratch/user_63,0.1553345909997006,7
unshare,user_2,12,/scratch/user_2,0.1420330990004004,8
unshare,user_10,1,/scratch/user_10,0.13582426900029532,5
unshare,user_36,1,/scratch/user_36,0.08872625299773063,5
unshare,user_6,4,/scratch/user_6,0.14889180200043484,6
unshare,user_36,6,/scratch/user_36,0.12210798100204556,9
unshare,user_61,8,/scratch/user_61,0.137807529001293,9
unshare,user_63,11,/scratch/user_63,0.12020988699805457,7
unshare,user_25,12,/scratch/user_25,0.1454639049989055,8
unshare,user_27,1,/scratch/user_27,0.1445633990006172,9
unshare,user_10,5,/scratch/user_10,0.14689261999956216,11
unshare,user_4,2,/scratch/user_4,0.14006645499830483,12
unshare,user_1,2,/scratch/user_1,0.14474164700004621,13
unshare,user_9,8,/scratch/user_9,0.1412329189988668,14
