timestamp,share_count,unshare_count,total_latency
0,18,4,5.2421626320101495
1,19,8,6.888500144003046
2,16,5,6.731374118000531
3,22,7,8.763218150998
4,20,10,8.706594224997389
5,20,6,8.275505354995403
6,18,4,6.200163322013395
7,16,5,6.455683756994404
8,18,5,5.883091172003333
9,23,9,8.12924212100188
10,22,9,7.835238429997844
11,24,8,8.275062815002457
12,26,10,9.221585814997525
13,20,10,7.816259234998142
14,27,7,9.08178889298506
15,25,11,9.585112563010625
16,25,13,9.755137937012478
17,28,9,9.82371804801005
18,28,7,9.407513901005586
19,25,7,8.464705219997995
20,22,21,11.815783524987637
21,21,14,9.387950373991771
22,23,13,9.850812898996082
23,31,11,11.724090217991034
24,31,22,17.778403390002495
25,29,19,15.738030573993456
26,25,18,14.876457597001718
27,32,24,17.834078219006187
28,30,21,14.850001240014535
29,40,20,17.96121009998751
30,37,24,20.7547084969774
31,30,25,20.179546658000618
32,39,21,22.64452682100091
33,38,28,24.871657537012652
34,41,25,25.195371335994423
35,40,30,27.161299509021774
36,43,31,26.43116771699715
37,30,32,21.70538737698371
38,38,23,21.634015317002195
39,41,30,26.164961835009308
40,35,31,22.235737458988297
41,37,29,20.093289964006544
42,33,31,20.197980712982826
43,43,36,25.79942762099745
44,35,36,27.946480339996924
45,38,31,26.698324352011696
46,45,31,30.221643649987527
47,35,35,21.170557115998236
48,41,33,23.15137834800771
49,43,42,27.998748018992046
50,37,35,25.640018119007436
51,33,36,25.54622567701881
52,39,36,28.229779043012968
53,37,32,26.136030769983336
54,45,43,34.767386499992426
55,44,36,31.926720530005696
56,39,42,32.539394394992996
57,36,35,29.527711423976143
58,40,36,31.958030803998554
59,40,39,29.993017279994092
60,28,39,26.004485550991376
61,32,44,28.775925719008228
62,33,46,27.824132141002337
63,32,38,27.075275672006683
64,38,38,21.744057209009043
65,24,34,21.22357225200176
66,26,30,20.429425002985226
67,22,33,18.56388515900835
68,25,33,20.820059937974293
69,25,35,21.066188198994496
70,23,35,19.84242768299373
71,25,36,21.255178413975955
72,22,38,20.30962233901664
73,20,28,17.37101498201082
74,24,31,18.301805928007525
75,17,26,14.646725696999056
76,23,27,16.8574106290107
77,25,27,17.962153306005348
78,23,24,16.36640547098432
79,18,31,16.820612454990624
80,16,32,15.46130276599797
81,14,33,15.133818969999993
82,13,31,15.932862643021508
83,20,30,15.781132483996771
84,13,25,11.692631901019922
85,13,24,11.567664257003344
86,11,18,8.365949291001016
87,16,22,11.952718838998408
88,14,21,11.079241724000894
89,12,26,11.052343254988955
90,9,16,7.209629930002848
91,14,19,9.803660426998249
92,9,18,7.680600285013497
93,9,15,7.002660770001967
94,10,15,6.817443499006913
95,11,18,8.42703924399757
96,6,13,5.7484078539964685
97,9,14,6.328106067012413
98,8,11,5.689069564999954
99,8,12,5.540262091999466
