tick,operation,from_user,to_users_count,resource,latency,num_contexts
0,share,user_9,16,/scratch/user_9,0.24201010999968275,1
0,share,user_74,15,/scratch/user_74,0.26070498099943507,2
0,share,user_4,5,/scratch/user_4,0.2027616150007816,3
0,share,user_5,19,/scratch/user_5,0.27091104300052393,4
0,share,user_1,16,/scratch/user_1,0.2784658910022699,5
0,share,user_12,20,/scratch/user_12,0.25029558499954874,6
0,share,user_15,8,/scratch/user_15,0.20430111799942097,7
0,share,user_57,11,/scratch/user_57,0.2071590820014535,8
0,share,user_8,16,/scratch/user_8,0.24341252900194377,9
0,share,user_13,5,/scratch/user_13,0.19658381100089173,10
0,share,user_16,18,/scratch/user_16,0.2430690709988994,11
0,share,user_6,19,/scratch/user_6,0.2399535639997339,12
0,share,user_11,17,/scratch/user_11,0.23203446499974234,13
0,share,user_14,1,/scratch/user_14,0.23384013600298204,14
0,share,user_7,17,/scratch/user_7,0.2515317130018957,15
0,share,user_17,21,/scratch/user_17,0.2372063500006334,16
0,share,user_18,13,/scratch/user_18,0.24061281499962206,17
0,share,user_3,9,/scratch/user_3,0.24912812399998074,18
1,share,user_9,4,/scratch/user_9,0.3024458979998599,18
1,share,user_43,17,/scratch/user_43,0.2489302489993861,19
1,share,user_10,22,/scratch/user_10,0.24845604000074673,20
1,share,user_74,6,/scratch/user_74,0.25461934299892164,20
1,share,user_4,8,/scratch/user_4,0.25059721100114984,20
1,share,user_5,15,/scratch/user_5,0.30754761600110214,20
1,share,user_1,13,/scratch/user_1,0.27701063900167355,20
1,share,user_56,20,/scratch/user_56,0.24270407000221894,21
1,share,user_12,15,/scratch/user_12,0.24721203700028127,21
1,share,user_57,16,/scratch/user_57,0.2962743860007322,21
1,share,user_8,9,/scratch/user_8,0.2589227690004918,21
1,share,user_13,22,/scratch/user_13,0.260665355999663,21
1,share,user_16,12,/scratch/user_16,0.2779442659993947,21
1,share,user_20,5,/scratch/user_20,0.211435507000715,22
1,share,user_19,2,/scratch/user_19,0.2210054429997399,23
1,share,user_7,4,/scratch/user_7,0.2683124549985223,22
1,share,user_17,1,/scratch/user_17,0.2887081199987733,22
1,share,user_18,19,/scratch/user_18,0.24237827700198977,22
1,share,user_3,21,/scratch/user_3,0.2569145980014582,21
2,share,user_9,22,/scratch/user_9,0.2995498089985631,21
2,share,user_2,7,/scratch/user_2,0.24574015899997903,22
2,share,user_43,13,/scratch/user_43,0.29633946900139563,22
2,share,user_12,14,/scratch/user_12,0.30573182099760743,22
2,share,user_15,11,/scratch/user_15,0.3710647030020482,22
2,share,user_57,11,/scratch/user_57,0.43014332099846797,22
2,share,user_8,5,/scratch/user_8,0.34804023900142056,22
2,share,user_13,7,/scratch/user_13,0.3106589150011132,22
2,share,user_16,14,/scratch/user_16,0.3045954020017234,22
2,share,user_6,6,/scratch/user_6,0.31657450900092954,22
2,share,user_20,20,/scratch/user_20,0.33658379899861757,22
2,share,user_19,17,/scratch/user_19,0.2896449140025652,22
2,share,user_14,16,/scratch/user_14,0.2868789079984708,23
2,share,user_7,17,/scratch/user_7,0.2989022660003684,23
2,share,user_18,20,/scratch/user_18,0.33616417400116916,23
2,share,user_3,11,/scratch/user_3,0.347526237997954,24
3,share,user_2,2,/scratch/user_2,0.26356373700036784,24
3,share,user_43,6,/scratch/user_43,0.28147848099979456,24
3,share,user_10,19,/scratch/user_10,0.32278481400135206,24
3,share,user_4,24,/scratch/user_4,0.3107880400020804,24
3,share,user_5,26,/scratch/user_5,0.3008771710010478,24
3,share,user_1,4,/scratch/user_1,0.31633854000028805,24
3,share,user_56,13,/scratch/user_56,0.31845972600058303,24
3,share,user_40,13,/scratch/user_40,0.2587935079973249,24
3,share,user_12,12,/scratch/user_12,0.2702800709994335,24
3,share,user_15,11,/scratch/user_15,0.3096092240011785,24
3,share,user_45,27,/scratch/user_45,0.25388562499938416,24
3,share,user_57,5,/scratch/user_57,0.33127921099730884,25
3,share,user_8,12,/scratch/user_8,0.31869321600242984,25
3,share,user_13,14,/scratch/user_13,0.3013966829967103,25
3,share,user_11,16,/scratch/user_11,0.34489861900146934,25
3,share,user_20,20,/scratch/user_20,0.3311087840011169,25
3,share,user_64,13,/scratch/user_64,0.2509226709989889,26
3,share,user_67,10,/scratch/user_67,0.27150352600074257,27
3,share,user_19,5,/scratch/user_19,0.30546154499825207,26
3,share,user_14,21,/scratch/user_14,0.3164614339984837,26
3,share,user_7,14,/scratch/user_7,0.34242896199793904,26
3,share,user_17,2,/scratch/user_17,0.29662708300020313,26
4,share,user_9,24,/scratch/user_9,0.37089191999984905,23
4,share,user_2,11,/scratch/user_2,0.32438454600196565,24
4,share,user_43,18,/scratch/user_43,0.30521491699983017,24
4,share,user_74,17,/scratch/user_74,0.3108615050005028,24
4,share,user_5,24,/scratch/user_5,0.270769898997969,24
4,share,user_1,13,/scratch/user_1,0.3410467699977744,24
4,share,user_56,8,/scratch/user_56,0.2935172639990924,25
4,share,user_40,17,/scratch/user_40,0.42073017900111154,25
4,share,user_15,14,/scratch/user_15,0.3611186499983887,25
4,share,user_45,3,/scratch/user_45,0.2915471600026649,25
4,share,user_8,8,/scratch/user_8,0.3238105269992957,25
4,share,user_13,8,/scratch/user_13,0.29915555700063123,25
4,share,user_16,3,/scratch/user_16,0.27191177400163724,25
4,share,user_20,11,/scratch/user_20,0.24674046599830035,25
4,share,user_64,11,/scratch/user_64,0.23492973700194852,25
4,share,user_67,14,/scratch/user_67,0.2326192139989871,26
4,share,user_14,15,/scratch/user_14,0.24660396200124524,26
4,share,user_17,4,/scratch/user_17,0.2533933099985006,26
4,share,user_18,23,/scratch/user_18,0.26647971800048253,25
4,share,user_3,1,/scratch/user_3,0.2336099709973496,25
5,share,user_9,23,/scratch/user_9,0.3299081980003393,23
5,share,user_43,20,/scratch/user_43,0.3039707649986667,23
5,share,user_10,6,/scratch/user_10,0.3690738639998017,23
5,share,user_74,13,/scratch/user_74,0.31703762599863694,23
5,share,user_71,24,/scratch/user_71,0.3163880339998286,25
5,share,user_1,9,/scratch/user_1,0.3208840700026485,25
5,share,user_56,23,/scratch/user_56,0.34933606200138456,25
5,share,user_40,23,/scratch/user_40,0.37114291099715047,25
5,share,user_12,21,/scratch/user_12,0.31044210199979716,25
5,share,user_15,18,/scratch/user_15,0.31726711800001794,25
5,share,user_8,8,/scratch/user_8,0.2932002019988431,25
5,share,user_13,14,/scratch/user_13,0.29493463299877476,25
5,share,user_16,17,/scratch/user_16,0.2852528010007518,25
5,share,user_11,21,/scratch/user_11,0.29957967099835514,25
5,share,user_64,19,/scratch/user_64,0.33397116999913123,25
5,share,user_14,17,/scratch/user_14,0.3045435010026267,25
5,share,user_7,19,/scratch/user_7,0.32630831000278704,25
5,share,user_17,8,/scratch/user_17,0.3057275520004623,25
5,share,user_18,18,/scratch/user_18,0.29929370199897676,24
5,share,user_3,9,/scratch/user_3,0.3268775189972075,24
6,share,user_9,18,/scratch/user_9,0.2459889550009393,21
6,share,user_10,16,/scratch/user_10,0.24187146300027962,20
6,share,user_4,22,/scratch/user_4,0.31498994100184063,21
6,share,user_5,4,/scratch/user_5,0.2651744859977043,21
6,share,user_71,7,/scratch/user_71,0.2510553690008237,20
6,share,user_40,13,/scratch/user_40,0.27007935700021335,21
6,share,user_12,18,/scratch/user_12,0.24861117900218233,20
6,share,user_15,5,/scratch/user_15,0.3029711670023971,20
6,share,user_31,16,/scratch/user_31,0.24099190600099973,21
6,share,user_45,3,/scratch/user_45,0.26056506800159696,21
6,share,user_13,23,/scratch/user_13,0.321476150998933,20
6,share,user_11,22,/scratch/user_11,0.2934153360001801,19
6,share,user_20,7,/scratch/user_20,0.29699628200251027,19
6,share,user_19,10,/scratch/user_19,0.28265449500031536,19
6,share,user_14,17,/scratch/user_14,0.28369796100014355,18
6,share,user_7,4,/scratch/user_7,0.23101961000065785,18
6,share,user_18,7,/scratch/user_18,0.4031215270006214,18
