operation,from_user,to_users_count,resource,latency,num_contexts
share,user_5,2,/scratch/user_5,0.15827447899937397,22
share,user_4,1,/scratch/user_4,0.15163425799983088,22
share,user_24,3,/scratch/user_24,0.13083938300042064,22
share,user_2,5,/scratch/user_2,0.15677001799849677,22
share,user_8,6,/scratch/user_8,0.13972627499970258,22
share,user_9,9,/scratch/user_9,0.16350294800213305,23
share,user_3,3,/scratch/user_3,0.14712416500333347,23
share,user_7,1,/scratch/user_7,0.1168736470026488,24
share,user_1,9,/scratch/user_1,0.17051862700100173,24
share,user_10,10,/scratch/user_10,0.18001502100014477,25
share,user_5,5,/scratch/user_5,0.16319856900008745,24
share,user_6,7,/scratch/user_6,0.15670347299965215,24
share,user_4,3,/scratch/user_4,0.15554642899951432,24
share,user_2,4,/scratch/user_2,0.14417311500073993,24
share,user_9,6,/scratch/user_9,0.13997689800089574,24
share,user_3,7,/scratch/user_3,0.1517413369983842,24
share,user_7,1,/scratch/user_7,0.14422373899651575,24
share,user_1,4,/scratch/user_1,0.14360469600069337,24
share,user_70,6,/scratch/user_70,0.138212811001722,24
share,user_10,4,/scratch/user_10,0.1435068630016758,24
share,user_5,9,/scratch/user_5,0.13229717499780236,24
share,user_6,1,/scratch/user_6,0.13172521600063192,24
share,user_4,5,/scratch/user_4,0.16155577300014556,24
share,user_24,9,/scratch/user_24,0.15369221600121818,24
share,user_2,6,/scratch/user_2,0.16351348500029417,24
share,user_9,8,/scratch/user_9,0.14795862100072554,24
share,user_3,2,/scratch/user_3,0.15706038899952546,24
share,user_7,2,/scratch/user_7,0.13717980799992802,24
share,user_1,3,/scratch/user_1,0.145650200000091,24
share,user_10,2,/scratch/user_10,0.14353107100032503,25
share,user_5,4,/scratch/user_5,0.16834049400131335,25
share,user_6,8,/scratch/user_6,0.1575296810005966,25
share,user_4,6,/scratch/user_4,0.15079608500309405,25
share,user_2,6,/scratch/user_2,0.15664405400093528,25
share,user_9,3,/scratch/user_9,0.13670497400016757,25
share,user_3,2,/scratch/user_3,0.1354763470008038,25
share,user_7,8,/scratch/user_7,0.14097698200203013,25
share,user_1,7,/scratch/user_1,0.12263432100007776,25
share,user_70,9,/scratch/user_70,0.1559400110018032,24
share,user_10,8,/scratch/user_10,0.1462903260035091,24
share,user_5,3,/scratch/user_5,0.15735851399949752,24
share,user_6,7,/scratch/user_6,0.12876666599913733,24
share,user_4,1,/scratch/user_4,0.15046191699730116,24
share,user_24,11,/scratch/user_24,0.15491159199882532,24
share,user_2,9,/scratch/user_2,0.17363558699798887,24
share,user_9,6,/scratch/user_9,0.13854989399987971,24
share,user_73,3,/scratch/user_73,0.12203427799977362,25
share,user_3,4,/scratch/user_3,0.14165314900310477,25
share,user_7,8,/scratch/user_7,0.15395371500198962,25
share,user_1,6,/scratch/user_1,0.15095604299858678,25
share,user_70,5,/scratch/user_70,0.14661820100081968,25
share,user_10,1,/scratch/user_10,0.1479596200006199,25
share,user_5,1,/scratch/user_5,0.17093837300126324,25
share,user_6,12,/scratch/user_6,0.16460931899928255,25
share,user_4,10,/scratch/user_4,0.1690782859986939,25
share,user_24,7,/scratch/user_24,0.13274471499971696,25
share,user_2,12,/scratch/user_2,0.17151803999877302,25
share,user_73,4,/scratch/user_73,0.12919283399969572,25
share,user_7,2,/scratch/user_7,0.14630265799860354,25
share,user_1,1,/scratch/user_1,0.129388375000417,25
share,user_70,2,/scratch/user_70,0.12991379300001427,25
share,user_56,6,/scratch/user_56,0.12180498499947134,26
share,user_10,12,/scratch/user_10,0.15599042699977872,26
share,user_5,1,/scratch/user_5,0.12540482499753125,26
share,user_6,11,/scratch/user_6,0.12772024600053555,26
share,user_4,7,/scratch/user_4,0.16948307700295118,26
share,user_24,4,/scratch/user_24,0.15169729300032486,26
share,user_2,4,/scratch/user_2,0.1470490339997923,26
share,user_9,4,/scratch/user_9,0.1785465530010697,27
share,user_73,5,/scratch/user_73,0.14681553400077973,27
share,user_3,6,/scratch/user_3,0.175203712999064,28
share,user_7,4,/scratch/user_7,0.1391584769990004,28
share,user_1,8,/scratch/user_1,0.15654892699967604,28
share,user_70,1,/scratch/user_70,0.1682606160029536,28
share,user_56,3,/scratch/user_56,0.14482298800066928,28
share,user_10,7,/scratch/user_10,0.13917151799978456,28
share,user_5,10,/scratch/user_5,0.17796013499901164,28
share,user_6,11,/scratch/user_6,0.1404883119976148,28
share,user_4,10,/scratch/user_4,0.1402226040008827,28
share,user_24,13,/scratch/user_24,0.17334066700277617,28
share,user_2,13,/scratch/user_2,0.15093304100082605,28
share,user_9,2,/scratch/user_9,0.15265162699870416,28
share,user_73,11,/scratch/user_73,0.1527352939992852,28
share,user_3,5,/scratch/user_3,0.14046851999955834,28
share,user_16,1,/scratch/user_16,0.13783668199903332,28
share,user_7,13,/scratch/user_7,0.15579013399838004,28
share,user_1,4,/scratch/user_1,0.12777728799846955,28
share,user_56,5,/scratch/user_56,0.14124106300005224,28
share,user_10,5,/scratch/user_10,0.13152950299991062,28
share,user_5,3,/scratch/user_5,0.13114512699758052,28
share,user_6,1,/scratch/user_6,0.13725401400006376,28
share,user_4,4,/scratch/user_4,0.12231581800006097,28
share,user_24,12,/scratch/user_24,0.16907390900087194,28
share,user_2,12,/scratch/user_2,0.14306631699946593,28
share,user_9,8,/scratch/user_9,0.13607530299850623,28
share,user_73,13,/scratch/user_73,0.13646792900181026,27
share,user_3,12,/scratch/user_3,0.14919203700264916,26
share,user_16,6,/scratch/user_16,0.16141351900296286,26
share,user_7,7,/scratch/user_7,0.1253392819999135,26
share,user_1,8,/scratch/user_1,0.15300833500077715,26
share,user_70,10,/scratch/user_70,0.13850134899985278,25
share,user_56,5,/scratch/user_56,0.1490956610032299,25
share,user_10,11,/scratch/user_10,0.13862643300308264,25
share,user_5,2,/scratch/user_5,0.14255131499885465,25
share,user_6,4,/scratch/user_6,0.14270989900251152,25
share,user_4,4,/scratch/user_4,0.13203225400138763,25
share,user_24,8,/scratch/user_24,0.1408894370033522,25
share,user_2,10,/scratch/user_2,0.15056195500073954,25
share,user_9,12,/scratch/user_9,0.1422884809981042,25
share,user_73,11,/scratch/user_73,0.13927393300036783,25
share,user_3,12,/scratch/user_3,0.1453961529987282,25
