operation,from_user,to_users_count,resource,latency,num_contexts
unshare,user_96,4,/scratch/user_96,0.3450046020006994,53
unshare,user_99,4,/scratch/user_99,0.3323931450031523,53
unshare,user_4,14,/scratch/user_4,0.3636936600014451,53
unshare,user_52,22,/scratch/user_52,0.4093532650003908,53
unshare,user_92,8,/scratch/user_92,0.349938323997776,53
unshare,user_98,12,/scratch/user_98,0.38739777600130765,53
unshare,user_72,13,/scratch/user_72,0.35333025100044324,53
unshare,user_68,15,/scratch/user_68,0.3339300640000147,53
unshare,user_87,4,/scratch/user_87,0.18186516300193034,53
unshare,user_89,4,/scratch/user_89,0.19271107199892867,53
unshare,user_56,23,/scratch/user_56,0.1740793040007702,53
unshare,user_10,1,/scratch/user_10,0.19902592499784078,53
unshare,user_58,1,/scratch/user_58,0.18272016499759047,53
unshare,user_100,5,/scratch/user_100,0.1893101019995811,53
unshare,user_82,5,/scratch/user_82,0.220146741001372,53
unshare,user_19,1,/scratch/user_19,0.17853869199825567,53
unshare,user_18,5,/scratch/user_18,0.16498073199909413,53
unshare,user_70,32,/scratch/user_70,0.30457259199829423,53
unshare,user_71,2,/scratch/user_71,0.06794309100223472,53
unshare,user_44,4,/scratch/user_44,0.0805057140023564,53
unshare,user_9,8,/scratch/user_9,0.21616914500191342,53
unshare,user_30,1,/scratch/user_30,0.19574932900286512,53
unshare,user_36,7,/scratch/user_36,0.08323801400183584,53
unshare,user_88,4,/scratch/user_88,0.18582042300113244,53
unshare,user_96,5,/scratch/user_96,0.33326776000103564,53
unshare,user_99,1,/scratch/user_99,0.2772539159996086,53
unshare,user_4,2,/scratch/user_4,0.3221728489988891,53
unshare,user_52,3,/scratch/user_52,0.3309201270021731,53
unshare,user_98,1,/scratch/user_98,0.223686370998621,53
unshare,user_68,14,/scratch/user_68,0.24704315299823065,53
unshare,user_89,19,/scratch/user_89,0.2679335100001481,53
unshare,user_56,16,/scratch/user_56,0.24166092699670116,53
unshare,user_48,9,/scratch/user_48,0.20405251600095653,53
unshare,user_31,12,/scratch/user_31,0.23226460600199061,53
unshare,user_10,1,/scratch/user_10,0.07452531800299766,53
unshare,user_29,35,/scratch/user_29,0.3285953239974333,53
unshare,user_100,3,/scratch/user_100,0.19186026900206343,53
unshare,user_82,32,/scratch/user_82,0.2897482009975647,53
unshare,user_40,16,/scratch/user_40,0.3092143040012161,53
unshare,user_19,1,/scratch/user_19,0.2194865640012722,53
unshare,user_85,23,/scratch/user_85,0.2771046190027846,53
