tick,operation,from_user,to_users_count,resource,latency,num_contexts
0,unshare,user_4,2,/scratch/user_4,0.23391679199994542,1
0,unshare,user_37,1,/scratch/user_37,0.2146739259987953,2
0,unshare,user_1,11,/scratch/user_1,0.22541351100153406,4
0,unshare,user_11,1,/scratch/user_11,0.17721815499862714,10
0,unshare,user_20,10,/scratch/user_20,0.24311306300114666,18
1,unshare,user_37,5,/scratch/user_37,0.2798344439997891,18
1,unshare,user_10,5,/scratch/user_10,0.2248312920000899,20
1,unshare,user_6,4,/scratch/user_6,0.2859663590006676,20
1,unshare,user_9,1,/scratch/user_9,0.24385344099937356,20
1,unshare,user_5,12,/scratch/user_5,0.22665284600043378,20
2,unshare,user_37,5,/scratch/user_37,0.2281724780004879,20
2,unshare,user_54,6,/scratch/user_54,0.2301985739995871,20
2,unshare,user_14,2,/scratch/user_14,0.14829246499903093,19
2,unshare,user_7,1,/scratch/user_7,0.17196861000047647,19
2,unshare,user_73,4,/scratch/user_73,0.2023365160002868,20
2,unshare,user_9,6,/scratch/user_9,0.22869418000118458,20
2,unshare,user_5,16,/scratch/user_5,0.1570926980002696,19
2,unshare,user_8,11,/scratch/user_8,0.15030351700079336,18
2,unshare,user_16,10,/scratch/user_16,0.21163379199970223,18
3,unshare,user_37,5,/scratch/user_37,0.24252403399987088,18
3,unshare,user_2,12,/scratch/user_2,0.2483479519996763,19
3,unshare,user_11,18,/scratch/user_11,0.20097328500014555,20
3,unshare,user_5,2,/scratch/user_5,0.24741668899878277,19
4,unshare,user_13,18,/scratch/user_13,0.23610192800151708,19
4,unshare,user_14,19,/scratch/user_14,0.24396902499938733,20
4,unshare,user_91,19,/scratch/user_91,0.23259506100112048,21
4,unshare,user_10,15,/scratch/user_10,0.23996003299907898,21
4,unshare,user_12,1,/scratch/user_12,0.354628455999773,22
5,unshare,user_17,7,/scratch/user_17,0.28769814199949906,23
5,unshare,user_35,3,/scratch/user_35,0.26475608500004455,25
5,unshare,user_15,22,/scratch/user_15,0.14623216899963154,24
5,unshare,user_14,6,/scratch/user_14,0.2347105159988132,24
5,unshare,user_9,2,/scratch/user_9,0.2428608259997418,26
5,unshare,user_8,9,/scratch/user_8,0.242675280000185,26
5,unshare,user_16,1,/scratch/user_16,0.27045041100063827,26
6,unshare,user_30,2,/scratch/user_30,0.25016662100097165,26
6,unshare,user_35,7,/scratch/user_35,0.220582726999055,26
6,unshare,user_19,8,/scratch/user_19,0.24730747200010228,27
6,unshare,user_27,20,/scratch/user_27,0.26852775599945744,27
6,unshare,user_14,4,/scratch/user_14,0.23054584199962846,27
6,unshare,user_91,22,/scratch/user_91,0.22830365499976324,27
6,unshare,user_6,9,/scratch/user_6,0.28334636299950944,26
6,unshare,user_9,5,/scratch/user_9,0.27554313400105457,26
6,unshare,user_55,13,/scratch/user_55,0.24267013400094584,27
6,unshare,user_41,16,/scratch/user_41,0.25264137300109724,27
6,unshare,user_12,11,/scratch/user_12,0.24329567600034352,27
7,unshare,user_4,3,/scratch/user_4,0.23780909100059944,27
7,unshare,user_18,8,/scratch/user_18,0.2874025060009444,27
7,unshare,user_30,11,/scratch/user_30,0.2550202580005134,27
7,unshare,user_49,13,/scratch/user_49,0.2590276229984738,27
7,unshare,user_54,12,/scratch/user_54,0.24592160399879504,27
7,unshare,user_15,19,/scratch/user_15,0.2225076340000669,27
7,unshare,user_19,7,/scratch/user_19,0.2429749549992266,27
7,unshare,user_81,4,/scratch/user_81,0.28593644200009294,29
7,unshare,user_27,3,/scratch/user_27,0.23272729200107278,29
7,unshare,user_14,5,/scratch/user_14,0.17270654899948568,28
7,unshare,user_11,13,/scratch/user_11,0.25608680000004824,28
7,unshare,user_7,10,/scratch/user_7,0.26066783200076316,29
7,unshare,user_10,7,/scratch/user_10,0.2332265829991229,29
7,unshare,user_9,14,/scratch/user_9,0.2564487140007259,29
7,unshare,user_8,2,/scratch/user_8,0.2999444540000695,29
7,unshare,user_16,2,/scratch/user_16,0.26287021600001026,29
7,unshare,user_29,24,/scratch/user_29,0.22719773999961035,30
7,unshare,user_74,12,/scratch/user_74,0.214828228999977,31
7,unshare,user_41,12,/scratch/user_41,0.2356864269986545,31
8,unshare,user_17,19,/scratch/user_17,0.26303400000142574,31
8,unshare,user_2,18,/scratch/user_2,0.23400403000050574,31
8,unshare,user_61,18,/scratch/user_61,0.2205987630004529,32
8,unshare,user_11,19,/scratch/user_11,0.25307050099945627,32
8,unshare,user_91,18,/scratch/user_91,0.2976087450006162,32
8,unshare,user_7,16,/scratch/user_7,0.22174297499987006,32
8,unshare,user_8,4,/scratch/user_8,0.300452134999432,32
8,unshare,user_29,1,/scratch/user_29,0.26660892399922886,32
8,unshare,user_20,26,/scratch/user_20,0.2489987110002403,32
8,unshare,user_83,8,/scratch/user_83,0.23147487099959108,33
9,unshare,user_61,2,/scratch/user_61,0.2767850929994893,30
9,unshare,user_14,1,/scratch/user_14,0.17365023199999996,31
9,unshare,user_73,22,/scratch/user_73,0.23075375900043582,31
9,unshare,user_55,10,/scratch/user_55,0.23084188199936762,31
9,unshare,user_8,6,/scratch/user_8,0.24911930400048732,31
9,unshare,user_16,18,/scratch/user_16,0.2320356799991714,31
9,unshare,user_74,11,/scratch/user_74,0.2627121450004779,31
10,unshare,user_37,23,/scratch/user_37,0.22331878099976166,32
10,unshare,user_30,14,/scratch/user_30,0.2589506939984858,33
