tick,operation,from_user,to_users_count,resource,latency,num_contexts
0,share,user_1,19,/scratch/user_1,0.3531453580000061,1
0,share,user_13,2,/scratch/user_13,0.21319828699999732,2
0,share,user_18,12,/scratch/user_18,0.22324165700000265,3
0,share,user_2,4,/scratch/user_2,0.2042072599999898,4
0,share,user_19,19,/scratch/user_19,0.21238565600000925,4
0,share,user_14,13,/scratch/user_14,0.22111496099999783,5
0,share,user_11,15,/scratch/user_11,0.2320188260000009,6
0,share,user_7,18,/scratch/user_7,0.23435500899999795,7
0,share,user_5,11,/scratch/user_5,0.20783439699999917,7
0,share,user_8,9,/scratch/user_8,0.23020981599999857,8
0,share,user_16,15,/scratch/user_16,0.2591757730000097,9
0,share,user_12,3,/scratch/user_12,0.20313299500000426,10
1,share,user_17,15,/scratch/user_17,0.23192269000000465,11
1,share,user_1,17,/scratch/user_1,0.3089942679999922,12
1,share,user_18,19,/scratch/user_18,0.28087580099999343,12
1,share,user_35,21,/scratch/user_35,0.20463199799999643,12
1,share,user_15,14,/scratch/user_15,0.23835868700000162,13
1,share,user_19,15,/scratch/user_19,0.24810733700000753,13
1,share,user_11,3,/scratch/user_11,0.22843032299999777,13
1,share,user_7,3,/scratch/user_7,0.2296694210000112,14
1,share,user_6,1,/scratch/user_6,0.24846431099999222,15
1,share,user_9,7,/scratch/user_9,0.2554988269999967,16
1,share,user_5,1,/scratch/user_5,0.24912953800000537,16
1,share,user_8,18,/scratch/user_8,0.3073737120000004,16
1,share,user_16,7,/scratch/user_16,0.28019288199999437,16
1,share,user_20,1,/scratch/user_20,0.1969286709999949,17
2,share,user_17,17,/scratch/user_17,0.32489322600000037,16
2,share,user_18,17,/scratch/user_18,0.26630258500000537,15
2,share,user_26,13,/scratch/user_26,0.25584629699997663,17
2,share,user_15,5,/scratch/user_15,0.2458502529999862,17
2,share,user_68,20,/scratch/user_68,0.2634941580000145,18
2,share,user_7,21,/scratch/user_7,0.23053245199997718,18
2,share,user_10,4,/scratch/user_10,0.20218325199999754,19
2,share,user_6,12,/scratch/user_6,0.2514259129999914,18
2,share,user_9,12,/scratch/user_9,0.254255392999994,18
2,share,user_23,1,/scratch/user_23,0.19787317099999768,19
2,share,user_8,7,/scratch/user_8,0.3127786569999955,18
2,share,user_16,8,/scratch/user_16,0.25196710500000563,18
2,share,user_20,1,/scratch/user_20,0.2836064990000011,18
2,share,user_12,11,/scratch/user_12,0.2398188709999829,18
3,share,user_17,9,/scratch/user_17,0.2627090290000069,18
3,share,user_1,1,/scratch/user_1,0.2262447520000137,18
3,share,user_13,19,/scratch/user_13,0.2357451129999788,19
3,share,user_18,11,/scratch/user_18,0.260287677000008,19
3,share,user_2,3,/scratch/user_2,0.23022063399997705,19
3,share,user_35,4,/scratch/user_35,0.2598660249999796,19
3,share,user_26,13,/scratch/user_26,0.2371061089999955,19
3,share,user_15,18,/scratch/user_15,0.29889764899999705,19
3,share,user_19,7,/scratch/user_19,0.2732032540000091,19
3,share,user_68,3,/scratch/user_68,0.22140619800001105,19
3,share,user_14,8,/scratch/user_14,0.26990223299998206,19
3,share,user_7,6,/scratch/user_7,0.23026892600000792,19
3,share,user_10,19,/scratch/user_10,0.2331588699999827,20
3,share,user_9,14,/scratch/user_9,0.25338863900000774,20
3,share,user_8,8,/scratch/user_8,0.21146616400000084,20
3,share,user_16,12,/scratch/user_16,0.29414549599999873,20
3,share,user_20,20,/scratch/user_20,0.2562139090000244,20
3,share,user_12,13,/scratch/user_12,0.25244590799999855,20
4,share,user_17,10,/scratch/user_17,0.2899296749999962,20
4,share,user_1,20,/scratch/user_1,0.25778060499999356,20
4,share,user_13,21,/scratch/user_13,0.3168426890000262,20
4,share,user_18,3,/scratch/user_18,0.221177296999997,20
4,share,user_2,9,/scratch/user_2,0.25117035100001317,20
