,operation,from_user,to_users_count,resource,latency,num_contexts
0,share,user_8,9,/scratch/user_8,0.17267212000001564,1
1,share,user_1,10,/scratch/user_1,0.1727990790000149,2
2,share,user_4,2,/scratch/user_4,0.1469338560000324,3
3,share,user_6,2,/scratch/user_6,0.14953059399999802,4
4,share,user_10,2,/scratch/user_10,0.14852732999997897,5
5,share,user_9,9,/scratch/user_9,0.1537451090000559,6
6,share,user_30,10,/scratch/user_30,0.14946617600003265,6
7,share,user_3,6,/scratch/user_3,0.14005188399983126,7
8,share,user_7,6,/scratch/user_7,0.14328205099991465,8
9,share,user_2,2,/scratch/user_2,0.14509965799993552,8
10,share,user_8,7,/scratch/user_8,0.16956177299994124,8
11,share,user_1,5,/scratch/user_1,0.15301842700000634,8
12,share,user_4,6,/scratch/user_4,0.1800993730000755,9
13,share,user_6,8,/scratch/user_6,0.19891933400003836,9
14,share,user_10,3,/scratch/user_10,0.19076426300011917,10
15,share,user_9,9,/scratch/user_9,0.1639109830000507,10
16,share,user_30,2,/scratch/user_30,0.16802437100000134,10
17,share,user_7,4,/scratch/user_7,0.20715447799989306,10
18,share,user_5,6,/scratch/user_5,0.14906799300001694,11
19,share,user_2,3,/scratch/user_2,0.15455281300000934,11
20,share,user_8,9,/scratch/user_8,0.16528424599982827,11
21,share,user_4,9,/scratch/user_4,0.1520070270000815,10
22,share,user_6,1,/scratch/user_6,0.1656190000001061,10
23,share,user_10,4,/scratch/user_10,0.1739404029999605,10
24,share,user_30,4,/scratch/user_30,0.1470492529999774,10
25,share,user_3,10,/scratch/user_3,0.16571345800002746,9
26,share,user_7,6,/scratch/user_7,0.16854115799992542,9
27,share,user_5,3,/scratch/user_5,0.15530381500002477,9
28,share,user_2,10,/scratch/user_2,0.15713667299996814,8
29,share,user_8,5,/scratch/user_8,0.16019513099990945,7
30,share,user_1,3,/scratch/user_1,0.16892349600016132,7
31,share,user_4,9,/scratch/user_4,0.14394112200011477,7
32,share,user_6,3,/scratch/user_6,0.165849574999811,7
33,share,user_10,1,/scratch/user_10,0.15189976400006344,7
34,share,user_9,8,/scratch/user_9,0.15409929299994474,6
35,share,user_30,2,/scratch/user_30,0.15439342299987402,6
36,share,user_3,9,/scratch/user_3,0.17051480300006006,6
37,share,user_7,4,/scratch/user_7,0.16021920799994405,6
38,share,user_5,4,/scratch/user_5,0.1404411920000257,6
39,share,user_2,3,/scratch/user_2,0.13663697400011188,6
40,share,user_1,4,/scratch/user_1,0.17354692000003524,6
41,share,user_4,2,/scratch/user_4,0.1465331879999212,6
42,share,user_6,1,/scratch/user_6,0.14335335399982796,6
43,share,user_10,9,/scratch/user_10,0.1621118519999527,5
44,share,user_9,7,/scratch/user_9,0.1461753480000425,5
45,share,user_30,1,/scratch/user_30,0.1671992459998819,5
46,share,user_3,1,/scratch/user_3,0.1525793870000598,5
47,share,user_7,4,/scratch/user_7,0.17324736799992024,5
48,share,user_5,4,/scratch/user_5,0.16012336099993263,3
49,share,user_2,5,/scratch/user_2,0.14387235499998496,3
50,share,user_1,4,/scratch/user_1,0.17068916200014428,4
51,share,user_6,5,/scratch/user_6,0.16756807799993112,3
52,share,user_10,5,/scratch/user_10,0.1564565159999347,3
53,share,user_9,1,/scratch/user_9,0.16138045599996076,3
54,share,user_30,9,/scratch/user_30,0.17154642300010892,3
55,share,user_3,9,/scratch/user_3,0.14540599199995086,3
56,share,user_7,4,/scratch/user_7,0.14321029500001714,4
57,share,user_5,10,/scratch/user_5,0.15991580600007183,4
58,share,user_2,10,/scratch/user_2,0.1695221400000264,3
59,share,user_8,8,/scratch/user_8,0.1562178409999433,3
60,share,user_1,8,/scratch/user_1,0.15072960199995578,2
61,share,user_4,7,/scratch/user_4,0.16106848599997647,2
62,share,user_6,3,/scratch/user_6,0.15504411099982462,3
63,share,user_9,2,/scratch/user_9,0.14777714100000594,4
64,share,user_30,8,/scratch/user_30,0.15629833599996346,4
65,share,user_7,3,/scratch/user_7,0.16486578100011684,4
66,share,user_5,9,/scratch/user_5,0.1522687379999752,4
67,share,user_2,6,/scratch/user_2,0.14811439000004611,5
68,share,user_12,6,/scratch/user_12,0.16270191400008116,6
69,share,user_8,5,/scratch/user_8,0.17228741400003855,7
70,share,user_1,6,/scratch/user_1,0.1823379599998134,7
71,share,user_4,9,/scratch/user_4,0.16109063700014303,6
72,share,user_6,9,/scratch/user_6,0.16270815799998672,6
73,share,user_10,7,/scratch/user_10,0.15669395500003702,5
74,share,user_9,2,/scratch/user_9,0.1474766680000812,5
75,share,user_30,4,/scratch/user_30,0.16072329899998294,5
76,share,user_3,2,/scratch/user_3,0.15967278500011162,5
77,share,user_7,6,/scratch/user_7,0.1828530390000651,5
78,share,user_5,4,/scratch/user_5,0.17005899799983126,5
79,share,user_2,6,/scratch/user_2,0.1636714149999534,5
80,share,user_8,1,/scratch/user_8,0.1743828040000608,5
81,share,user_1,2,/scratch/user_1,0.18079896600011125,7
82,share,user_95,12,/scratch/user_95,0.14296964100003606,7
83,share,user_6,7,/scratch/user_6,0.19055300700006228,8
84,share,user_10,10,/scratch/user_10,0.15403520100016976,8
