timestamp,share_count,unshare_count,total_latency
0,17,2,8.144965859999502
1,16,7,11.06268590299942
2,17,6,11.10038448899968
3,14,10,11.274969293002869
4,21,10,15.048399890998553
5,20,9,14.060976552998909
6,24,10,16.29086490699956
7,22,9,15.245346690000133
8,19,8,13.038215486000354
9,25,14,20.124517761002153
10,22,14,17.995692093000343
11,28,11,19.376572664998548
12,27,12,20.007289674998447
13,29,12,21.698540127999422
14,29,11,20.0779501850011
15,30,13,21.048872625998683
16,28,10,18.68142639500138
17,37,13,27.631153010999697
18,31,16,24.561822231000406
19,33,14,25.745581603998744
20,25,14,20.303776256998844
21,29,20,26.76016084300045
22,33,20,29.189284275001683
23,28,15,24.112479099997927
24,33,13,24.921177788999103
25,37,24,30.0589104210012
26,30,21,24.18750915299779
27,33,18,17.15789560599933
28,39,22,20.841630136001186
29,32,15,16.40659287000335
30,37,22,20.199172631000238
31,45,24,28.506909557997915
32,37,32,24.680533188001846
33,37,27,20.986745280999912
34,45,34,25.83047683300356
35,38,27,21.51435550699989
36,38,18,18.241126841999176
37,45,24,35.71576567499915
38,42,20,30.499280660997556
39,42,29,39.758730233997994
40,27,36,35.632361157001014
41,30,29,32.053795349000666
42,35,26,32.80656123699964
43,28,27,34.7646940619984
44,30,27,37.68487980300051
45,25,30,17.973093313999016
46,40,30,21.678808594000202
47,38,31,21.331090097000015
48,38,32,20.30691568699922
49,35,30,21.254660883995257
50,35,33,20.181208656997114
51,29,36,18.262668745996052
52,32,28,17.73298466199776
53,30,27,16.505629116002638
54,35,33,20.269324699998833
55,31,25,15.696029625999472
56,25,29,15.121537372001512
57,32,28,17.374615087001075
58,27,36,18.40356269499989
59,34,26,17.698529975999918
60,24,32,16.090674607998153
61,24,35,16.404905357000644
62,15,31,12.60464078899895
63,21,26,13.143558783002845
64,20,31,13.608129187994564
65,26,25,13.645518467999864
66,24,26,12.917706119000286
67,19,29,12.285732968999582
68,19,21,10.659492676002628
69,19,27,12.086606053995638
70,18,25,11.48433868400025
71,15,26,10.379600875003234
72,23,26,12.756378812001458
73,14,31,11.3164423599992
74,22,26,11.946443755003202
75,20,19,10.170369813999969
76,25,23,12.604823571001361
77,21,26,12.161997333001636
78,17,16,8.74278736800079
79,23,18,10.829359534996911
80,8,25,8.114534061998711
81,9,18,6.554764877000707
82,12,18,7.198512334002771
83,13,18,7.114646746994367
84,7,13,4.311641043999771
85,8,18,5.891518131998964
86,9,15,5.720206932998735
87,9,16,5.506326117001663
88,4,10,3.0578992540004037
89,6,10,3.493611601997145
90,7,12,4.005582823001532
91,4,12,3.2982427389970326
92,8,7,3.404857427999559
93,6,13,3.989628668995465
94,8,13,4.688883127995723
95,7,13,4.44938936699873
96,5,12,3.7012327890015513
97,2,10,2.443878448002579
98,7,8,3.1361051819994827
99,6,6,2.678382038999189
