,operation,from_user,to_users_count,resource,latency,num_contexts
0,unshare,user_25,1,/scratch/user_25,0.13904621399979078,10
1,unshare,user_59,1,/scratch/user_59,0.13314627399995516,10
2,unshare,user_4,8,/scratch/user_4,0.1540968559997964,8
3,unshare,user_3,3,/scratch/user_3,0.14229368399992381,7
4,unshare,user_5,3,/scratch/user_5,0.15417060700019647,8
5,unshare,user_1,6,/scratch/user_1,0.1280270450001808,8
6,unshare,user_1,4,/scratch/user_1,0.14898929400033012,5
7,unshare,user_2,8,/scratch/user_2,0.1429101459998492,5
8,unshare,user_3,6,/scratch/user_3,0.14007496799968067,6
9,unshare,user_4,4,/scratch/user_4,0.15666657499969006,6
10,unshare,user_1,1,/scratch/user_1,0.139047171999664,7
11,unshare,user_9,2,/scratch/user_9,0.12901371599991762,4
12,unshare,user_7,1,/scratch/user_7,0.14740983000001506,4
13,unshare,user_5,6,/scratch/user_5,0.13517561499975272,5
14,unshare,user_4,3,/scratch/user_4,0.1315711850002117,7
15,unshare,user_6,9,/scratch/user_6,0.13093951500013645,7
16,unshare,user_7,5,/scratch/user_7,0.1374541240002145,7
17,unshare,user_5,10,/scratch/user_5,0.13486078000005364,8
18,unshare,user_7,5,/scratch/user_7,0.12563886899988574,6
19,unshare,user_64,1,/scratch/user_64,0.09049931500021557,6
20,unshare,user_59,9,/scratch/user_59,0.10185348400000294,6
21,unshare,user_7,5,/scratch/user_7,0.142349768999793,3
22,unshare,user_59,8,/scratch/user_59,0.1341473610000321,4
23,unshare,user_64,3,/scratch/user_64,0.14705437000020538,6
24,unshare,user_64,3,/scratch/user_64,0.13724733099979858,9
25,unshare,user_40,1,/scratch/user_40,0.1437820239998473,10
26,unshare,user_40,12,/scratch/user_40,0.09786055199992916,7
27,unshare,user_3,4,/scratch/user_3,0.138604211999791,8
28,unshare,user_7,1,/scratch/user_7,0.13117651600032332,7
29,unshare,user_60,12,/scratch/user_60,0.15323022699976718,7
30,unshare,user_5,7,/scratch/user_5,0.15938212699984433,9
31,unshare,user_40,2,/scratch/user_40,0.13813921000019036,9
32,unshare,user_59,5,/scratch/user_59,0.14210755900012373,9
33,unshare,user_1,3,/scratch/user_1,0.16384201999971992,9
34,unshare,user_56,11,/scratch/user_56,0.1491547119999268,10
35,unshare,user_79,15,/scratch/user_79,0.09954764100029934,9
36,unshare,user_98,2,/scratch/user_98,0.1357445340004233,10
37,unshare,user_1,13,/scratch/user_1,0.109468348000064,10
38,unshare,user_25,9,/scratch/user_25,0.158203039,12
39,unshare,user_40,13,/scratch/user_40,0.15494035999972766,9
40,unshare,user_2,14,/scratch/user_2,0.16338110100014092,9
41,unshare,user_33,4,/scratch/user_33,0.1514684290000332,9
42,unshare,user_98,14,/scratch/user_98,0.13205156100002569,7
43,unshare,user_73,12,/scratch/user_73,0.1585670829999799,7
44,unshare,user_7,12,/scratch/user_7,0.17430768599979274,9
45,unshare,user_7,2,/scratch/user_7,0.14355710700010604,8
46,unshare,user_33,15,/scratch/user_33,0.15750866099961058,8
47,unshare,user_60,15,/scratch/user_60,0.15992654600040623,8
48,unshare,user_60,2,/scratch/user_60,0.13773549999996249,7
49,unshare,user_3,14,/scratch/user_3,0.24122532399997,8
50,unshare,user_7,11,/scratch/user_7,0.16424923000022318,7
51,unshare,user_25,3,/scratch/user_25,0.1543564410003455,8
52,unshare,user_32,16,/scratch/user_32,0.10948505599981218,7
53,unshare,user_59,5,/scratch/user_59,0.1549128589999782,8
54,unshare,user_33,16,/scratch/user_33,0.15960008600040965,10
55,unshare,user_79,2,/scratch/user_79,0.14911062900000616,10
56,unshare,user_25,15,/scratch/user_25,0.15807807999999568,10
57,unshare,user_79,4,/scratch/user_79,0.17474156300022514,12
58,unshare,user_46,3,/scratch/user_46,0.17401922599992758,14
59,unshare,user_32,6,/scratch/user_32,0.15804987199999232,16
60,unshare,user_32,1,/scratch/user_32,0.15186393099975248,13
61,unshare,user_8,14,/scratch/user_8,0.17476510400001644,13
62,unshare,user_25,18,/scratch/user_25,0.17809224300026472,11
63,unshare,user_56,4,/scratch/user_56,0.17366322399993805,10
64,unshare,user_59,16,/scratch/user_59,0.18922870300002614,11
65,unshare,user_98,13,/scratch/user_98,0.18957620399987718,12
66,unshare,user_20,2,/scratch/user_20,0.16119459299989103,11
67,unshare,user_70,16,/scratch/user_70,0.20410234400014815,11
68,unshare,user_7,9,/scratch/user_7,0.16797874400026558,14
69,unshare,user_5,1,/scratch/user_5,0.16404718700005105,14
70,unshare,user_40,8,/scratch/user_40,0.17550214799985042,14
71,unshare,user_73,11,/scratch/user_73,0.1808388780000314,15
72,unshare,user_85,22,/scratch/user_85,0.20324846599987723,15
73,unshare,user_32,22,/scratch/user_32,0.19828265499972986,16
74,unshare,user_1,14,/scratch/user_1,0.19188929700021617,17
75,unshare,user_40,3,/scratch/user_40,0.19120987700034675,18
76,unshare,user_32,1,/scratch/user_32,0.15846337400034827,18
77,unshare,user_2,2,/scratch/user_2,0.18094658700010768,17
78,unshare,user_32,15,/scratch/user_32,0.20081995700002153,15
79,unshare,user_8,16,/scratch/user_8,0.2310583260000385,16
80,unshare,user_73,18,/scratch/user_73,0.22155228800011173,16
81,unshare,user_79,17,/scratch/user_79,0.16765157600002567,15
82,unshare,user_5,6,/scratch/user_5,0.15115526099998533,13
83,unshare,user_32,9,/scratch/user_32,0.14865245999999388,13
84,unshare,user_1,3,/scratch/user_1,0.1447102359998098,13
85,unshare,user_49,5,/scratch/user_49,0.16253513899982863,12
86,unshare,user_3,15,/scratch/user_3,0.1704696290003085,12
87,unshare,user_3,11,/scratch/user_3,0.1434548970000833,10
88,unshare,user_7,1,/scratch/user_7,0.16257855599997129,11
89,unshare,user_46,7,/scratch/user_46,0.1756702329998916,11
90,unshare,user_70,12,/scratch/user_70,0.1699257100003706,12
91,unshare,user_72,8,/scratch/user_72,0.15836966500000926,13
92,unshare,user_79,14,/scratch/user_79,0.18192304900003364,10
93,unshare,user_1,5,/scratch/user_1,0.15474256699963007,11
94,unshare,user_23,13,/scratch/user_23,0.1583424149998791,10
95,unshare,user_46,11,/scratch/user_46,0.17001129299978857,11
96,unshare,user_1,3,/scratch/user_1,0.1560324879997097,12
97,unshare,user_40,23,/scratch/user_40,0.19403351299979477,13
98,unshare,user_20,5,/scratch/user_20,0.16273259800027517,14
99,unshare,user_79,24,/scratch/user_79,0.16383481100001518,13
100,unshare,user_62,15,/scratch/user_62,0.15078051000000414,16
101,unshare,user_2,13,/scratch/user_2,0.1632411420000608,14
102,unshare,user_70,20,/scratch/user_70,0.16687153199973181,15
103,unshare,user_35,1,/scratch/user_35,0.14289497900017523,17
104,unshare,user_62,2,/scratch/user_62,0.15714541000033933,17
105,unshare,user_72,23,/scratch/user_72,0.17083875499974965,18
106,unshare,user_8,17,/scratch/user_8,0.16205522100017333,18
107,unshare,user_35,20,/scratch/user_35,0.18905911899992134,17
108,unshare,user_8,18,/scratch/user_8,0.1913587109997934,16
109,unshare,user_49,23,/scratch/user_49,0.17564385800005766,17
110,unshare,user_85,3,/scratch/user_85,0.1644634809999843,16
111,unshare,user_70,14,/scratch/user_70,0.21980582299966045,14
112,unshare,user_48,1,/scratch/user_48,0.18995966400007092,14
113,unshare,user_8,27,/scratch/user_8,0.1922839229996498,14
114,unshare,user_49,6,/scratch/user_49,0.17923449599993546,14
115,unshare,user_2,24,/scratch/user_2,0.18954995400008556,14
116,unshare,user_96,5,/scratch/user_96,0.16648261299997102,13
117,unshare,user_70,3,/scratch/user_70,0.18391014000008,13
