timestamp,share_count,unshare_count,total_latency
0,16,3,4.713188292993436
1,16,5,6.27765681499659
2,15,7,5.128432399986195
3,22,9,7.830476265004108
4,16,5,4.968443308000133
5,19,9,7.001179552000394
6,18,8,6.866855656975531
7,18,10,7.321925125004782
8,21,7,7.065733891999116
9,23,10,8.595222378990002
10,21,7,7.91165725299652
11,24,10,9.70598061900455
12,25,10,10.527899775006517
13,29,8,11.199370857997565
14,30,17,13.343889269995998
15,29,14,12.381282873993769
16,32,11,13.051522424018913
17,27,10,12.377637149002112
18,32,16,16.46624626900666
19,32,9,13.958481925998058
20,28,24,17.859385989995644
21,29,22,18.12906477999786
22,33,22,19.41510058698259
23,35,21,20.43684280299567
24,38,17,20.874651035006536
25,39,24,22.857842414021434
26,35,24,21.254731262004498
27,38,17,19.993552620999253
28,33,21,20.57017941900631
29,39,24,23.569402032000653
30,38,21,22.29704991300605
31,43,30,28.393629625014
32,42,20,23.182575406011892
33,41,20,22.11772568201195
34,41,24,24.696703006011376
35,43,20,24.042637233018468
36,40,28,27.340724159970705
37,38,25,24.800103096993553
38,45,26,29.088332088020252
39,51,30,35.50836211099522
40,39,42,24.84160972200698
41,42,40,25.175811687011446
42,32,37,20.645278445997974
43,39,40,23.77136037598393
44,38,40,22.844411305992253
45,43,33,25.335093666995817
46,39,41,24.925584516018716
47,47,32,27.83149505900292
48,45,30,30.164314949000982
49,45,44,36.57528748699042
50,37,41,32.84677041701798
51,39,41,33.967007519975596
52,37,34,29.91884122900592
53,32,45,33.285799183016934
54,39,40,34.1283458140133
55,44,40,37.45479244300077
56,40,41,37.249750778002635
57,33,41,33.82104361299935
58,32,48,36.05511627199667
59,40,37,29.832477532025223
60,26,48,26.767375559997163
61,32,42,29.098556151991943
62,31,38,28.483632815030433
63,34,37,26.908154959004605
64,26,45,28.947037996986182
65,28,39,19.440559869992285
66,37,46,24.671527947004506
67,32,35,24.516208639994147
68,30,42,24.843216309993295
69,28,31,20.647619153009146
70,26,45,24.073218553989136
71,37,39,25.890274369994586
72,30,36,23.19370620698828
73,24,26,17.193773569993937
74,23,34,21.00820705899605
75,22,35,16.094932959007565
76,25,28,14.775965584001824
77,26,24,15.63520807700479
78,24,37,17.591287865994673
79,24,33,16.904524232002586
80,19,38,18.85123102500438
81,15,33,15.610853754969867
82,16,35,15.956546022000111
83,16,29,14.610005874994386
84,16,33,16.007595012015372
85,16,30,16.218935040014912
86,16,29,14.770164926008874
87,20,28,14.809377354999015
88,13,24,11.333012841012533
89,11,26,11.013672362016223
90,13,20,10.466129339980398
91,13,20,10.318308681999042
92,13,19,11.382807788995706
93,5,21,8.447425775008014
94,16,18,11.348063672005082
95,9,20,9.805971844005398
96,9,20,9.551204660998337
97,9,14,7.3725595959949715
98,7,10,5.364697661003447
99,8,17,8.237567078009306
