,timestamp,share_count,unshare_count,total_latency
0,1,7,2,1.3169847509999926
1,2,9,1,1.3863513339999969
2,3,11,0,1.596056125000004
3,4,7,0,0.9757801659999927
4,5,9,2,1.6456091239999964
5,6,10,1,1.5696407080000014
6,7,6,3,1.1846235040000082
7,8,11,2,1.8578410399999683
8,9,11,1,1.546669040999987
9,10,12,1,1.8424777489999826
10,11,12,1,1.9857394179999943
11,12,12,1,1.8596021670000056
12,13,11,1,1.567976582999961
13,14,14,1,2.1548669580000137
14,15,14,1,2.196143260999989
15,16,12,4,2.2355978989999983
16,17,14,0,2.0163034360000154
17,18,12,2,2.0215565269999587
18,19,13,0,1.7776968580000414
19,20,11,3,2.1084730710000343
20,21,13,1,1.9739736129999983
21,22,15,5,2.9339824990000096
22,23,15,0,2.1422374939999855
23,24,14,0,2.1304405619999898
24,25,14,3,2.6190455220000217
25,26,18,1,2.7837731970000164
26,27,17,0,2.5224686960000042
27,28,15,3,2.5442936530000253
28,29,17,5,2.1977770639999648
29,30,16,1,1.6813229409999906
30,31,20,3,2.185580373000022
31,32,20,1,1.5598872140000282
32,33,20,1,1.492040584000037
33,34,23,2,1.7525150430000167
34,35,21,2,1.658572107000012
35,36,22,2,2.222329040000048
36,37,23,5,2.186220916999943
37,38,22,3,2.1110815380000503
38,39,20,4,1.8661725879999551
39,40,24,3,2.336024617999925
40,41,25,4,2.506473956000093
41,42,24,3,2.3297094119999713
42,43,22,3,2.2649694030000944
43,44,24,0,1.565106197000091
44,45,23,3,2.0282906750000507
45,46,26,5,2.80697700799999
46,47,25,6,2.4381426650000435
47,48,26,4,2.2160784480000757
48,49,26,5,2.541780530999972
49,50,25,3,1.841672244999927
50,51,26,2,2.099881286999988
51,52,26,4,2.095260885000016
52,53,27,5,2.740136244999917
53,54,27,4,2.5199701000000516
54,55,29,5,2.635293775000065
55,56,28,5,2.7398141980000617
56,57,29,2,2.125707934999866
57,58,32,1,2.296174299000114
58,59,28,3,2.389657310999951
59,60,27,4,2.2858015059999843
60,61,29,2,2.399183386000061
61,62,27,3,2.199125863000006
62,63,31,1,2.062952912999947
63,64,31,3,2.4194759279999403
64,65,26,2,1.9215272779999566
65,66,30,4,2.868914520999965
