,operation,from_user,to_users_count,resource,latency,num_contexts
0,share,user_8,9,/scratch/user_8,0.21259116600000283,33
1,share,user_1,2,/scratch/user_1,0.1110192089999984,34
2,share,user_4,3,/scratch/user_4,0.11975383400000084,35
3,share,user_6,8,/scratch/user_6,0.21084537499999811,35
4,share,user_9,4,/scratch/user_9,0.1750177079999986,35
5,share,user_3,1,/scratch/user_3,0.10931512500000196,36
6,share,user_7,6,/scratch/user_7,0.15595812499999795,35
7,share,user_8,1,/scratch/user_8,0.13928708299999926,34
8,share,user_4,6,/scratch/user_4,0.13895224999999556,34
9,share,user_6,2,/scratch/user_6,0.16332637499999691,34
10,share,user_10,3,/scratch/user_10,0.1257944170000016,35
11,share,user_62,6,/scratch/user_62,0.12097308399999918,36
12,share,user_3,1,/scratch/user_3,0.12142883299999596,37
13,share,user_7,7,/scratch/user_7,0.1619599160000007,37
14,share,user_5,1,/scratch/user_5,0.15763566700000098,37
15,share,user_2,3,/scratch/user_2,0.11897954200000527,38
16,share,user_8,10,/scratch/user_8,0.1572008750000009,38
17,share,user_1,7,/scratch/user_1,0.13121558299999947,38
18,share,user_4,9,/scratch/user_4,0.12888570799999854,37
19,share,user_64,8,/scratch/user_64,0.15861041699999845,37
20,share,user_6,5,/scratch/user_6,0.16083087500000204,37
21,share,user_10,7,/scratch/user_10,0.13739962500000047,37
22,share,user_62,6,/scratch/user_62,0.1542406249999999,37
23,share,user_3,10,/scratch/user_3,0.12114512499999819,36
24,share,user_7,3,/scratch/user_7,0.1357982080000042,36
25,share,user_5,2,/scratch/user_5,0.15746716700000007,36
26,share,user_2,7,/scratch/user_2,0.1532619170000018,36
27,share,user_1,9,/scratch/user_1,0.14773674999999997,34
28,share,user_4,7,/scratch/user_4,0.1298238749999996,34
29,share,user_64,3,/scratch/user_64,0.14066079099999484,34
30,share,user_6,2,/scratch/user_6,0.13654325000000256,34
31,share,user_10,7,/scratch/user_10,0.14579508299999588,34
32,share,user_7,5,/scratch/user_7,0.13854441699999853,34
33,share,user_2,8,/scratch/user_2,0.13667600000000135,34
34,share,user_8,9,/scratch/user_8,0.12849737499999492,34
35,share,user_1,8,/scratch/user_1,0.1163008750000003,34
36,share,user_4,1,/scratch/user_4,0.12429591599999412,34
37,share,user_64,3,/scratch/user_64,0.14370437499999866,34
38,share,user_6,2,/scratch/user_6,0.13938037500000178,34
39,share,user_10,2,/scratch/user_10,0.1323315830000027,33
40,share,user_3,5,/scratch/user_3,0.13832870800000308,33
41,share,user_7,6,/scratch/user_7,0.17958270900000173,33
42,share,user_5,1,/scratch/user_5,0.1742403330000002,33
43,share,user_8,2,/scratch/user_8,0.14481979199999984,33
44,share,user_1,5,/scratch/user_1,0.13730387500000063,33
45,share,user_4,4,/scratch/user_4,0.13848616599999986,33
46,share,user_64,2,/scratch/user_64,0.1474754580000024,33
47,share,user_6,8,/scratch/user_6,0.15030383299999528,33
48,share,user_10,4,/scratch/user_10,0.11697191700000076,33
49,share,user_3,9,/scratch/user_3,0.14140375000000205,33
50,share,user_7,1,/scratch/user_7,0.16174383300000272,33
51,share,user_5,8,/scratch/user_5,0.1511141669999958,33
52,share,user_2,3,/scratch/user_2,0.11138375000000167,33
53,share,user_8,4,/scratch/user_8,0.12241525000000308,33
54,share,user_4,7,/scratch/user_4,0.1263106670000056,33
55,share,user_64,3,/scratch/user_64,0.15337662599999646,34
56,share,user_10,7,/scratch/user_10,0.1302288339999933,34
57,share,user_3,8,/scratch/user_3,0.1300384169999944,35
58,share,user_2,8,/scratch/user_2,0.11858445900000447,35
59,share,user_8,2,/scratch/user_8,0.13852933299999393,35
60,share,user_1,5,/scratch/user_1,0.1582218750000095,36
61,share,user_4,3,/scratch/user_4,0.13087674999999876,36
62,share,user_35,7,/scratch/user_35,0.12759629199999267,37
63,share,user_64,4,/scratch/user_64,0.1606009580000034,37
64,share,user_6,8,/scratch/user_6,0.16028987499998948,37
65,share,user_10,9,/scratch/user_10,0.13456920799998784,37
66,share,user_3,4,/scratch/user_3,0.12295374999999353,37
67,share,user_7,7,/scratch/user_7,0.15351641700000584,37
68,share,user_5,8,/scratch/user_5,0.1525882910000007,37
69,share,user_2,7,/scratch/user_2,0.12153445799999929,37
70,share,user_8,2,/scratch/user_8,0.1142317910000088,37
71,share,user_1,1,/scratch/user_1,0.11088208399999644,37
72,share,user_4,10,/scratch/user_4,0.11532537499999762,36
73,share,user_35,9,/scratch/user_35,0.12740633300001036,36
74,share,user_64,9,/scratch/user_64,0.1543578750000023,36
75,share,user_6,6,/scratch/user_6,0.1331316249999901,36
76,share,user_10,2,/scratch/user_10,0.12026808299999914,36
77,share,user_3,3,/scratch/user_3,0.11308045799999888,35
78,share,user_7,4,/scratch/user_7,0.1576331249999896,35
79,share,user_5,2,/scratch/user_5,0.12217529199999433,35
80,share,user_2,1,/scratch/user_2,0.11715999999999838,35
81,share,user_8,5,/scratch/user_8,0.1291553749999963,36
82,share,user_1,6,/scratch/user_1,0.14708170899999118,37
83,share,user_4,7,/scratch/user_4,0.12158945899999196,37
84,share,user_35,6,/scratch/user_35,0.12487287499999411,37
85,share,user_64,9,/scratch/user_64,0.16152545799999984,37
86,share,user_6,7,/scratch/user_6,0.1541147080000087,37
87,share,user_10,11,/scratch/user_10,0.11847458299999403,36
88,share,user_56,4,/scratch/user_56,0.12454520800000068,37
89,share,user_3,10,/scratch/user_3,0.1365806660000004,36
90,share,user_7,7,/scratch/user_7,0.16665983400000073,36
91,share,user_5,9,/scratch/user_5,0.1611732500000045,36
92,share,user_2,10,/scratch/user_2,0.13938083300000415,35
93,share,user_8,4,/scratch/user_8,0.14073958400000208,35
94,share,user_1,8,/scratch/user_1,0.1559178750000001,36
95,share,user_4,12,/scratch/user_4,0.13878416699999718,36
96,share,user_35,8,/scratch/user_35,0.12203258399999584,35
97,share,user_64,3,/scratch/user_64,0.1400484999999918,35
98,share,user_10,10,/scratch/user_10,0.20212079200000233,35
99,share,user_84,8,/scratch/user_84,0.16575199999999768,36
100,share,user_56,6,/scratch/user_56,0.17142404100000874,36
101,share,user_3,12,/scratch/user_3,0.14036333300001047,36
102,share,user_7,1,/scratch/user_7,0.13533933399999398,36
103,share,user_5,5,/scratch/user_5,0.1573837090000012,36
104,share,user_2,2,/scratch/user_2,0.14194583299999408,36
105,share,user_8,7,/scratch/user_8,0.14960616700000173,36
106,share,user_1,7,/scratch/user_1,0.13667745899999773,36
107,share,user_35,7,/scratch/user_35,0.13377825000000598,36
108,share,user_64,3,/scratch/user_64,0.13180708300001243,36
109,share,user_6,7,/scratch/user_6,0.14791787500000453,36
110,share,user_10,6,/scratch/user_10,0.14189629199999843,36
111,share,user_84,6,/scratch/user_84,0.14722787499999868,36
112,share,user_56,6,/scratch/user_56,0.14640437500000303,36
113,share,user_3,5,/scratch/user_3,0.1364613749999961,36
114,share,user_7,1,/scratch/user_7,0.1310403330000014,36
115,share,user_5,5,/scratch/user_5,0.15069779099999892,36
116,share,user_2,9,/scratch/user_2,0.1269703329999885,36
117,share,user_1,11,/scratch/user_1,0.1296451660000031,36
118,share,user_4,7,/scratch/user_4,0.13057150000000206,36
119,share,user_35,1,/scratch/user_35,0.14260487500000352,36
120,share,user_64,3,/scratch/user_64,0.12541970799999547,36
121,share,user_6,3,/scratch/user_6,0.1445418750000016,36
122,share,user_10,5,/scratch/user_10,0.12249837499999217,36
123,share,user_84,10,/scratch/user_84,0.12159470799998928,35
124,share,user_56,10,/scratch/user_56,0.1112344999999948,34
125,share,user_3,5,/scratch/user_3,0.11739666699999418,35
126,share,user_7,11,/scratch/user_7,0.15862429199999895,35
127,share,user_2,9,/scratch/user_2,0.12262224999999205,35
128,share,user_12,8,/scratch/user_12,0.14304608300000154,35
129,share,user_8,5,/scratch/user_8,0.12450400000000172,34
130,share,user_1,5,/scratch/user_1,0.12573745799998903,34
131,share,user_4,2,/scratch/user_4,0.1318672499999991,34
132,share,user_35,3,/scratch/user_35,0.14847054200001253,34
133,share,user_64,13,/scratch/user_64,0.17994929200000342,34
134,share,user_6,2,/scratch/user_6,0.14456112499999563,34
