,operation,from_user,to_users_count,resource,latency,num_contexts
0,unshare,user_9,4,/scratch/user_9,0.13501241699999866,35
1,unshare,user_3,1,/scratch/user_3,0.08747179199999522,35
2,unshare,user_8,3,/scratch/user_8,0.13801416700000146,34
3,unshare,user_6,7,/scratch/user_6,0.1451204170000011,34
4,unshare,user_7,4,/scratch/user_7,0.22382645799999779,33
5,unshare,user_64,2,/scratch/user_64,0.16863416700000045,33
6,unshare,user_4,4,/scratch/user_4,0.14104541700000084,34
7,unshare,user_10,3,/scratch/user_10,0.1325654590000056,35
8,unshare,user_3,1,/scratch/user_3,0.1300583750000044,36
9,unshare,user_35,5,/scratch/user_35,0.13108241700000178,37
10,unshare,user_6,1,/scratch/user_6,0.16548141599999155,37
11,unshare,user_7,3,/scratch/user_7,0.16101700000000108,35
12,unshare,user_5,7,/scratch/user_5,0.15732379099999605,36
13,unshare,user_5,4,/scratch/user_5,0.17388766599999883,36
14,unshare,user_7,4,/scratch/user_7,0.17911695899999813,36
15,unshare,user_56,11,/scratch/user_56,0.14122266699999386,35
16,unshare,user_10,7,/scratch/user_10,0.15305304199999625,35
17,unshare,user_84,1,/scratch/user_84,0.1438602399999951,37
18,unshare,user_35,3,/scratch/user_35,0.13414288900000315,37
19,unshare,user_10,4,/scratch/user_10,0.15092349399999705,37
20,unshare,user_56,9,/scratch/user_56,0.14632804300001112,37
21,unshare,user_7,6,/scratch/user_7,0.17105965499999343,37
22,unshare,user_1,5,/scratch/user_1,0.14467983199999424,39
23,unshare,user_7,6,/scratch/user_7,0.1591389740000011,36
24,unshare,user_12,9,/scratch/user_12,0.15858669499999678,34
25,unshare,user_84,6,/scratch/user_84,0.15851910199999963,35
26,unshare,user_2,8,/scratch/user_2,0.25171161800000164,36
27,unshare,user_84,5,/scratch/user_84,0.15238619699999845,35
28,unshare,user_83,1,/scratch/user_83,0.12850858299999857,36
29,unshare,user_68,8,/scratch/user_68,0.19058224900000198,36
30,unshare,user_4,14,/scratch/user_4,0.14069769799999676,36
31,unshare,user_10,12,/scratch/user_10,0.16645541699999455,37
32,unshare,user_5,6,/scratch/user_5,0.16461153599999534,37
