timestamp,share_count,unshare_count,total_latency
0,16,8,5.34235926600104
1,20,5,6.049163599001986
2,20,8,6.796687452000697
3,17,11,6.664004796997688
4,25,6,7.808669667000686
5,20,6,6.661267054002565
6,20,12,8.282773958996586
7,20,14,8.790509924000617
8,23,11,11.101329062997138
9,22,10,9.050488314002905
10,22,9,8.43988886399984
11,23,13,11.128494589000184
12,27,13,11.008218038998166
13,28,11,10.797275100999286
14,25,12,10.534897839002042
15,32,13,13.13353783099683
16,32,14,13.86835437100126
17,25,11,10.462568848000956
18,29,14,12.394645754999146
19,34,14,14.326396730001761
20,29,14,12.986368005999793
21,19,20,10.79357533700204
22,28,15,11.280270941002527
23,27,16,11.75208851500065
24,28,24,14.921060470994234
25,28,28,16.189822539994566
26,36,24,17.842712697002753
27,34,20,15.419587246002266
28,32,23,15.702954916997442
29,41,22,18.93679266199706
30,39,30,19.93006109599537
31,35,29,19.232351601002847
32,29,25,15.57414112800052
33,36,24,17.938142008992145
34,38,23,17.79935642700184
35,40,15,16.369293833002303
36,34,25,17.11179852999885
37,40,28,19.940788189001978
38,34,24,17.103817412002172
39,39,21,17.766983521998554
40,32,32,19.76195831300265
41,30,32,19.150142302999484
42,33,33,20.1707278390013
43,36,36,22.196266259999902
44,30,30,17.473717336006303
45,34,32,19.058048164001775
46,44,32,23.475936805002675
47,40,33,22.24606503099858
48,36,35,21.636028341002202
49,32,37,19.896373084000516
50,32,35,19.406878701001006
51,33,33,19.96051706599792
52,34,37,21.393591579000713
53,44,37,24.77003121800317
54,36,28,21.04621360100282
55,34,30,20.731093498997325
56,46,31,25.513573167001596
57,35,28,21.060156217999065
58,39,29,27.487090705005357
59,36,34,24.375002073999894
60,40,44,29.58560495700567
61,31,44,21.214740035998148
62,28,38,18.01013242999852
63,32,39,19.488662251997084
64,28,38,19.717727340002057
65,30,38,21.650604440998904
66,19,37,16.41656824400161
67,22,36,17.313968905996262
68,29,37,19.81237605899605
69,27,38,19.80674996400103
70,26,30,17.101532638002936
71,23,33,16.58706300099857
72,29,39,20.478193321001527
73,24,39,19.04846442399503
74,24,34,17.78053631099465
75,31,45,23.9151711049999
76,25,29,18.758171149996087
77,21,32,17.60128398600682
78,25,38,19.810423922002883
79,20,31,17.82982596599595
80,15,33,15.319135462004851
81,19,34,13.631588054000531
82,12,24,9.911099541001931
83,16,26,11.824181088996738
84,15,22,10.349461248998523
85,16,25,11.704863687001307
86,9,28,9.902094068995211
87,15,22,10.701791760993729
88,16,24,10.23987889899945
89,12,25,10.295706448000601
90,11,25,9.624095866000971
91,11,25,10.160679924997567
92,8,20,6.993736560000798
93,10,21,8.45923146000132
94,16,18,9.12616720799997
95,7,24,7.925007120004011
96,14,17,8.211028918000011
97,15,26,10.37787033800032
98,9,17,6.56783987900053
99,9,19,7.091789867003172
